license_number,application_status,business_name,BUSINESS_PHONE,business_address_1,city_id,business_state,business_zipcode,New Lat,New Long,county_id
MR283896,APPROVED,SOLAR RETAIL NORTON LLC,781-316-7626,242 MANSFIELD AVE,cty31,MA,2766,41.99033175,-71.21104898,ct8
MB281350,APPROVED,Cloudfarming LLC,978-764-7285,50 Condor St,cty32,MA,2128,42.38268482,-71.0384449,ct6
MR282801,APPROVED,"Fidelity Wellness Center, Inc.",978-876-1531,38 Church Street,cty33,MA,1890,42.45142475,-71.13871592,ct3
PMD5860,APPROVED,Relevant Energy Concepts LLC,413-693-6573,1833 Roosevelt Avenue,cty13,MA,1109,42.1309552,-72.54550913,ct2
MP282127,APPROVED,"Page Cultivate, LLC",413-263-6149,"299 Page Boulevard, Lot 2",cty13,MA,1104,42.132785,-72.561613,ct2
DO100105,APPROVED,Treevit LLC,413-219-6716,129 Moxon St,cty13,MA,1151,42.15474553,-72.49860643,ct2
MC283469,REOPENED,Kraft King Ltd.,413-391-6953,620 Beaulieu Street,cty2,MA,1040,42.19282905,-72.61631497,ct2
MC283745,APPROVED,"Lifted Genetics, INC",774-217-9567,42 Holliston St,cty1,MA,2053,42.14592985,-71.40533177,ct1
MC282148,APPROVED,Impressed LLC,617-331-9748,15 Commercial Waye,cty34,MA,2341,42.0751013,-70.8800423,ct11
PMD5783,APPROVED,"DB Delivery MA, LLC",888-836-6243,6 Liberty Square,cty6,MA,2109,42.3580602,-71.0552331,ct6
MR281637,APPROVED,"The Verb is Herb, LLC.",860-803-3675,7 4 Cottage St,cty35,MA,1027,42.265295,-72.668492,ct9
MR284254,APPROVED,Greener World Inc.,508-843-2990,620 Beaulieu St,cty2,MA,1040,42.19282905,-72.61631497,ct2
MX281410,APPROVED,Meed Cannabis LLC,617-953-8206,964 Main Street,cty36,MA,1230,42.1686085,-73.3643063,ct4
MP282013,APPROVED,"LC Square, LLC.",617-712-8884,14 Fox Hill Drive,cty37,MA,1760,42.3140677,-71.32913177,ct3
MC281903,APPROVED,"15 Arch, LLC",781-910-7566,15 Arch St,cty29,MA,1301,42.59238867,-72.60497828,ct5
MC283393,APPROVED,"Bada Bloom!, Inc.",978-995-9625,44 Old Tyng Road,cty38,MA,1879,42.66456182,-71.41241687,ct3
MP281543,APPROVED,4bros Inc,518-224-4772,630 Beaulieu Street,cty2,MA,1040,42.19219285,-72.61703974,ct2
PMD5849,APPROVED,Cannvas LLC,781-783-2223,1400 Brayton Point Road,cty39,MA,2725,41.7290653,-71.17288035,ct8
MC281629,APPROVED,"HOLYOKE GREEN GROWERS, LLC.",413-883-9862,60 Jackson St.,cty2,MA,1040,42.19705548,-72.6142854,ct2
DO100179,APPROVED,"ON ROOT, LLC",978-239-8497,82 SANDERSON AVENUE,cty40,MA,1902,42.46937204,-70.92921564,ct13
MR283558,APPROVED,"Lifted Luxury, Inc",401-636-8186,615 Adams Street,cty41,MA,2122,42.288727,-71.0557347,ct6
MD1326,APPROVED,"M2B Home Delivery, Inc.",413-530-8325,139 Silvio O Conte Drive,cty29,MA,1301,42.61743485,-72.56926444,ct5
PMD5795,APPROVED,Tranquil Valley Delivery Service LLC,413-535-0621,127 Saint Kolbe Dr,cty2,MA,1040,42.20981896,-72.60408296,ct2
MC283300,APPROVED,"Paper Crane Provisions, LLC",617-530-0357,56 Gardner Rd.,cty42,MA,1452,42.49039545,-72.01208255,ct10
MR284530,APPROVED,Valkyrie Cannabis Inc.,631-276-4111,325 Stockbridge Rd.,cty36,MA,1230,42.211077,-73.34632,ct4
MR284969,APPROVED,Yellow House Cannabis LLC,603-396-0792,405-409 Middlesex Rd,cty38,MA,1879,42.6946096,-71.43583248,ct3
MP281839,APPROVED,Medicine Man Solutions,508-958-0059,144 W Brittania St,cty28,MA,2780,41.91778,-71.101212,ct8
MC281642,APPROVED,"Commcan, Inc.",508-376-2041,2 Marc Road,cty1,MA,2053,42.158955,-71.39556603,ct1
MR283886,APPROVED,"Sira Naturals, Inc.",617-833-2077,300 Trade Center Drive,cty43,MA,1801,42.499513,-71.162528,ct3
MR282939,APPROVED,"Greenerside Holdings, LLC",617-792-8714,62 Harold Street,cty6,MA,2119,42.31863548,-71.08913567,ct6
MC283521,APPROVED,Greener World Inc.,508-843-2990,620 Beaulieu St,cty2,MA,1040,42.19282905,-72.61631497,ct2
MR282958,APPROVED,GTE Taunton LLC,508-846-5941,120 Bergeron Way,cty44,MA,2072,42.10900415,-71.07822275,ct1
MC281917,APPROVED,"Commonwealth Alternative Care, Inc.",617-529-1894,30 Mozzone Boulevard,cty28,MA,2780,41.87312085,-71.063849,ct8
MR281245,APPROVED,"253 Organic, LLC",774-236-9389,253 Millers Falls Road,cty45,MA,1376,42.59029,-72.527306,ct5
MP282005,APPROVED,CURE Pack MA LLC,203-829-0032,644 River Street,cty46,MA,1420,42.57697054,-71.83390627,ct10
PDO103141,APPROVED,Healing Calyx LLC,617-997-8542,70 Von Hillern Street,cty6,MA,2125,42.3235808,-71.0539866,ct6
MR282410,APPROVED,Bud's Goods & Provisions Corp. (FKA Trichome Health Corp.),774-239-2200,54 West Boylston St,cty47,MA,1606,42.2902934,-71.80614099,ct10
MC281908,APPROVED,Ocean Breeze Cultivators LLC,917-847-0040,11 Dory Road,cty48,MA,1930,42.6256263,-70.65764587,ct13
MX281413,APPROVED,"FitzCanna, Inc",978-990-3440,"75 Green Street, Suite 5",cty49,MA,1510,42.41392434,-71.67755104,ct10
MR283460,APPROVED,"CNA Stores, Inc.",781-589-3192,70 Von Hillern Street,cty6,MA,2125,42.3235808,-71.0539866,ct6
MR284603,APPROVED,Cannabis of Worcester LLC,701-770-5893,56 Millbrook Street,cty47,MA,1606,42.28891165,-71.802764,ct10
MR282766,APPROVED,GTE Franklin LLC,508-846-5941,120 Bergeron Way,cty44,MA,2072,42.10900415,-71.07822275,ct1
MR282870,REOPENED,"Seven Point of Massachusetts, Inc.",312-593-8448,461 Wareham Street,cty50,MA,2346,41.84253235,-70.84612873,ct11
PDO103104,APPROVED,The GreenHouse Cannabis Group Inc.,978-393-3104,133 Clarendon St #170360,cty6,MA,2117,42.348759,-71.073956,ct6
MP281436,APPROVED,"LDE Holdings, LLC.",508-317-6082,74 Snows Pond Rd,cty51,MA,2770,41.75605015,-70.8562127,ct11
MC282530,APPROVED,"Salisbury Cultivation and Production Manufacturing, LLC",603-785-8768,187 Lafayette Road,cty52,MA,1952,42.86439393,-70.87287769,ct13
PDO103152,APPROVED,"6 Bricks Delivery, LLC.",413-222-1538,6 Olney Avenue,cty13,MA,1119,42.12457315,-72.52532839,ct2
MC283477,APPROVED,Fish Road LLC,508-943-7800,40 Fish Road,cty53,MA,1571,42.04718775,-71.97406761,ct10
MR284038,APPROVED,"Union Twist, Inc.",917-740-0649,630 Worcester Road,cty54,MA,1702,42.2978368,-71.4226006,ct3
MR282618,APPROVED,Lynn Organics LLC,617-610-0761,One International Place,cty6,MA,2110,42.3563268,-71.0518873,ct6
MD1271,APPROVED,Blossom Flower LLC,413-250-6104,1 Cabot Street,cty2,MA,1040,42.197299,-72.603448,ct2
MR281263,APPROVED,"Curaleaf Massachusetts, Inc",617-750-6885,425 Main Street,cty55,MA,1540,42.12844295,-71.86460355,ct10
MC282303,APPROVED,Berkshire Kind Inc.,413-344-0264,33 State Street,cty13,MA,1103,42.09929611,-72.58881964,ct2
MR284261,APPROVED,"Rooted In, LLC",617-501-0989,331 Newbury St,cty6,MA,2115,42.34874605,-71.08642613,ct6
PDO103572,APPROVED,"Earth Well Delivery, Inc.",857-919-0791,526 Boston Post Road,cty56,MA,1778,42.3635109,-71.38849043,ct3
MC281975,APPROVED,"ATLANTIC FARMS, LLC",413-884-5443,225 CEDAR HILL ST.,cty57,MA,1752,42.3203781,-71.58591012,ct3
MR284655,APPROVED,In Good Health,508-682-1510,449 Route 130,cty58,MA,2563,41.734887,-70.492373,ct7
PMD5806,APPROVED,We Can Deliver Boston LLC,508-315-7240,22 Chestnut Hill Drive,cty59,MA,1331,42.594001,-72.2268141,ct10
MR281774,APPROVED,Trichome Health Corp.,774-239-2200,12 Pennsylvania Ave,cty60,MA,2464,42.31090625,-71.22139343,ct3
PMD5991,APPROVED,"Mobile ReLeaf, LLC",508-634-8099,14 West Fountain Street,cty61,MA,1757,42.15148855,-71.53092372,ct10
DO100130,APPROVED,Shine Delivery LLC,774-272-2219,119 Washington Street,cty62,MA,2762,42.01719195,-71.31681719,ct1
MC282179,APPROVED,Sama Productions LLC,914-263-6627,42 South Main Street,cty63,MA,1255,42.08294025,-73.07223527,ct4
MR281290,APPROVED,"M3 Ventures, Inc.",617-686-5185,9 Collins Avenue,cty64,MA,2360,41.96042185,-70.69122676,ct11
MC281446,APPROVED,"M3 Ventures, Inc.",617-686-5185,9 Collins Avenue,cty64,MA,2360,41.96042185,-70.69122676,ct11
PMD5817,APPROVED,Tradesman Exchange LLC,508-264-2530,226 South Main Street,cty14,MA,2721,41.69930643,-71.15734286,ct8
MC283470,APPROVED,"CNA Stores, Inc.",781-589-3192,West Street,cty24,MA,1475,42.6835217,-72.0554746,ct10
MR282516,APPROVED,Nova Farms LLC,508-212-4490,34 Extension Street,cty22,MA,2703,41.9182546,-71.3248453,ct8
MC282873,APPROVED,Elevated Cultivation Co. LLC,617-688-4225,44 William C. Gould Jr. Way,cty65,MA,2364,41.9720204,-70.70644668,ct11
MR282669,APPROVED,"Nature's Embrace, Inc.",617-523-0600,221 Oak Street,cty26,MA,2301,42.10421385,-71.03536749,ct11
MR284018,APPROVED,Sears Farm Wellness LLC,508-328-4289,215 Sears Road,cty66,MA,2777,41.74518835,-71.2047948,ct8
PDO103046,APPROVED,Hizzy Inc.,774-240-6009,5 Robert J Way,cty64,MA,2360,41.929834,-70.647114,ct11
MP281757,REOPENED,"J&L Enterprises, LLC",413-204-9044,104 Governor Dukakis Drive,cty19,MA,1364,42.5646298,-72.28566395,ct5
MR283261,APPROVED,Medicine Man Solutions LLC,508-958-0059,144 W Brittania St,cty28,MA,2780,41.91778,-71.101212,ct8
MC283717,APPROVED,Motah 420 LLC,617-480-4160,6 RENFREW ST,cty4,MA,1220,42.637327,-73.112068,ct4
MR284733,APPROVED,"Holland Brands SB, LLC",508-479-3506,550 East First Street,cty6,MA,2127,42.33816329,-71.03851314,ct6
MR283098,APPROVED,"6 Bricks, LLC.",413-222-1538,250 Albany Street,cty13,MA,1105,42.12022985,-72.57500562,ct2
MC281370,APPROVED,"1620 Labs, LLC",978-846-2061,1 Exchange Street,cty59,MA,1331,42.5919194,-72.23063008,ct10
MR281287,APPROVED,"New England Treatment Access, LLC.",617-285-4461,5 Forge Parkway,cty67,MA,2038,42.083688,-71.440426,ct1
MC281282,REOPENED,Commonwealth Rehabilitation,781-519-9649,4 Cabot place,cty44,MA,2072,42.1538305,-71.07465445,ct1
MP281679,APPROVED,"HumboldtEast, LLC",617-320-8647,2 Norino Way,cty68,MA,1833,42.719307,-70.956381,ct13
RMD4128,PENDING,"Native Sun Wellness, Inc.",978-212-5723,37 Coolidge Street,cty69,MA,1749,42.39546389,-71.58824757,ct3
MP282234,APPROVED,Jolly Green INC,978-410-7736,246 Suffolk Lane,cty70,MA,1440,42.596209,-71.9501104,ct10
MP281583,APPROVED,"Commonwealth Alternative Care, Inc.",617-529-1894,30 Mozzone Boulevard,cty28,MA,2780,41.87312085,-71.063849,ct8
MR282902,APPROVED,Green Era LLC,425-287-6699,25 Cape Rd,cty71,MA,1756,42.0985762,-71.50320605,ct10
PMD5981,APPROVED,Always Accurate Enterprise,978-621-3237,20 Lamplighter Lane,cty72,MA,1863,42.624985,-71.382602,ct3
MP281787,APPROVED,High Five Inc.,413-695-3788,19 Wemelco Way,cty35,MA,1027,42.25374985,-72.6897522,ct9
MC283240,APPROVED,"Royalty Group, LLC",978-479-9772,279 Tremont St.,cty6,MA,2116,42.34980875,-71.06537925,ct6
MR282731,APPROVED,Solar Therapeutics Inc.,508-300-3366,493 Faunce Corner Road,cty73,MA,2747,41.67239973,-70.98992253,ct8
MR281679,APPROVED,"Herbology Group, Inc.",203-491-0091,82 Wendell Ave,cty74,MA,1201,42.4452914,-73.25314036,ct4
MR281256,APPROVED,"Mayflower Medicinals, Inc.",508-356-6600,33 Union Street,cty6,MA,2108,42.3611907,-71.05667155,ct6
MP282017,APPROVED,MassBiotics Inc.,508-943-7800,35 Armory Street,cty47,MA,1603,42.24730983,-71.81339981,ct10
DO100180,REOPENED,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,617-333-8725,727 Atlantic Avenue,cty6,MA,2111,42.3506754,-71.056699,ct6
PDO103400,APPROVED,Speedy Cannabis LLC,978-343-8610,339 River Street,cty46,MA,1420,42.58098759,-71.8231219,ct10
MC282951,APPROVED,Mint Cultivation Facilities LLC,602-931-3663,25 Ware Street,cty75,MA,1609,42.179849,-72.318118,ct2
MR282909,APPROVED,True East Leaf LLC,413-841-1238,161 Seymour Street,cty74,MA,1201,42.4611216,-73.25128882,ct4
MC283507,APPROVED,Admiral Green Holdings Corp.,617-835-0705,58 Great Republic Drive,cty48,MA,1930,42.624622,-70.645959,ct13
MP281533,APPROVED,"Health Circle, Inc.",917-428-8461,21 Commerce Road,cty76,MA,2370,42.16389183,-70.90123906,ct11
RE281346,APPROVED,National Cannabis Research Inc.,413-214-1568,174 Mashapaug Rd,cty77,MA,1521,42.05636225,-72.16021,ct2
MX281367,REOPENED,"Izapa Stela 5, LLC",281-905-1433,703 School St,cty24,MA,1475,42.71394835,-72.07771705,ct10
MR285047,REOPENED,"FDM Sales, Inc.",508-259-2140,135-139 Southbridge Road,cty55,MA,1540,42.167368,-71.894897,ct10
MC283352,APPROVED,Main Street Medicinals LLC,617-894-1857,82 Wendell Avenue,cty74,MA,1201,42.4452914,-73.25314036,ct4
MP281964,APPROVED,Canna Provisions Inc,303-981-2453,220 Housatonic Street,cty7,MA,1238,42.29940095,-73.24212836,ct4
MB281347,APPROVED,Gibby's Garden LLC,508-779-0755,660 Douglas Street,cty23,MA,1569,42.0624603,-71.66928172,ct10
PDO103033,APPROVED,"Bracts & Pistils, LLC",508-517-9964,77 porter street,cty78,MA,2301,42.10006225,-71.02533123,ct11
DO100101,REOPENED,Hizzy Inc.,774-240-6009,5 Robert J Way,cty64,MA,2360,41.929834,-70.647114,ct11
MP281879,APPROVED,"Major Bloom, LLC",857-445-5232,76 Millbury Street,cty47,MA,1610,42.253338,-71.79907856,ct10
MR281616,APPROVED,"Alfreds Finest, Inc.",508-457-1301,8 Scobee Circle,cty64,MA,2360,41.9495487,-70.70708313,ct11
MC282043,APPROVED,NEO Manufacturing MA LLC,415-519-1063,365 Boston Post RD #184,cty79,MA,1776,42.36181985,-71.41682885,ct3
MC281475,REOPENED,Hooligans Enterprises LLC,978-704-5676,4 Woodholm Rd,cty80,MA,1944,42.5794508,-70.77986259,ct13
PMD5967,APPROVED,"Reup, INC",617-710-1198,22 Barry St,cty26,MA,2302,42.08489165,-71.0072382,ct11
MP282220,REOPENED,"Eddie's Flowers, Inc.",413-883-3471,23 Rindge State Rd.,cty81,MA,1430,42.68792475,-71.87929935,ct10
MR281971,APPROVED,"Wellness Connection of MA, Inc",617-821-0113,44 Railroad Street,cty82,MA,2151,42.40326755,-71.00743091,ct6
MR285040,APPROVED,"Hidden Wonders, LLC",508-612-2687,27 Robert J. Way,cty83,MA,2360,41.929738,-70.64968,ct11
MR284645,APPROVED,Pure Oasis LLC,617-792-5644,"398 Columbus Ave, Suite 148",cty6,MA,2116,42.344647,-71.076494,ct6
MC282674,APPROVED,Releaf Cultivation L.L.C,508-314-1463,232 Old Colony Unit 203,cty6,MA,2127,42.33218,-71.05325,ct6
MR283121,APPROVED,"HTC Trinity, LLC",774-930-1519,354 Winthrop Street,cty28,MA,2780,41.88685253,-71.13080619,ct8
MP281715,APPROVED,"Four Daughters Compassionate Care, Inc.",224-622-8770,1200 Providence Highway,cty84,MA,2067,42.122512,-71.172922,ct1
MR284846,APPROVED,The Stories Company Whitman LLC,617-852-4764,109 Raffaele Drive,cty18,MA,2452,42.39944235,-71.22072595,ct3
MP281591,APPROVED,Solurge Inc.,305-801-7893,650 Beaulieu St,cty2,MA,1040,42.19161355,-72.61750717,ct2
PMD6055,APPROVED,"Legal Greens, LLC",857-333-8143,168 Broadway Street,cty28,MA,2780,41.9149466,-71.09182447,ct8
MR281274,APPROVED,"Caroline's Cannabis, LLC",774-243-0323,640 Douglas Street,cty23,MA,1569,42.06317085,-71.66946065,ct10
MP281903,APPROVED,Cannabakeri LLC,617-816-3513,41 Fremont St,cty47,MA,1603,42.24114522,-71.83080337,ct10
MR282161,APPROVED,High Hopes LLC,508-561-2596,"1 Menfi Way, Unit 9",cty85,MA,1747,42.102519,-71.50773,ct10
MC281259,APPROVED,"Resinate, Inc.",508-864-5180,120 Gilboa Street,cty86,MA,1516,42.08420335,-71.69925891,ct10
MC283657,APPROVED,Coyote Cannabis Corporation,781-964-5159,420 West Street,cty23,MA,1569,42.0570883,-71.66664509,ct10
DO100111,APPROVED,"Alfred's Finest, Inc",508-457-1301,8 Scobee Circle,cty64,MA,2360,41.9495487,-70.70708313,ct11
MP281817,REOPENED,"Green Envy MA, LLC",781-844-9754,Charlotte Court,cty50,MA,2346,41.89316,-70.91115,ct11
MC281258,APPROVED,"253 Organic, LLC",774-236-9389,253 Millers Falls Road,cty25,MA,1376,42.59022745,-72.52731605,ct5
MC281770,APPROVED,PURE BOTANICALS LLC,303-549-4848,46 LUCILLE ST,cty87,MA,80206,42.4758508,-73.26204679,ct4
MP281303,APPROVED,"SIRA NATURALS, INC.",617-833-2077,300 TRADE CENTER DRIVE,cty88,MA,1801,42.499513,-71.162528,ct3
MC281255,APPROVED,"Alternative Therapies Group, Inc.",617-549-8575,"24R Pleasant St, Unit 2",cty89,MA,1950,42.810523,-70.871166,ct13
MR282183,APPROVED,Curaleaf Massachusetts Inc,617-750-6885,124 West Street,cty90,MA,1082,42.2558983,-72.24951459,ct9
MC281970,APPROVED,"BCWC, LLC dba Nova Farms",401-418-4929,1884  North Main Street,cty91,MA,1257,42.156992,-73.364514,ct4
MP281693,APPROVED,"HVV Massachusetts, Inc",843-819-0866,2 Opportunity Way,cty89,MA,1950,42.8010374,-70.89237772,ct13
MP281803,APPROVED,Bold Coast Solutions LLC,201-274-3520,2 BURGESS POINT ROAD,cty92,MA,2571,41.73034975,-70.66288987,ct11
MR281284,APPROVED,Patriot Care Corp,978-771-1434,21 Milk Street,cty6,MA,2116,42.3566935,-71.0583031,ct6
MR283559,APPROVED,"Webber Road Ops, LLC",860-508-9929,275 Sturbridge Road,cty93,MA,1010,42.11359342,-72.15911442,ct2
MP282071,APPROVED,"Pleasantrees, Inc.",203-491-0091,111 Mosher Street,cty2,MA,1040,42.2045242,-72.5965522,ct2
MD1281,APPROVED,"Community Growth Partners Delivery, Inc.",646-408-1196,20 Ladd Avenue,cty21,MA,1062,42.3198687,-72.66277919,ct9
MR284345,APPROVED,220 ONEIL LLC,774-602-0142,220 O'Neil Boulevard,cty22,MA,2703,41.93718035,-71.2752458,ct8
MP281301,APPROVED,Caregiver-Patient Connection LLC,978-621-3567,"60 Tripp St.,",cty54,MA,1701,42.2690081,-71.41214298,ct3
MR285084,PENDING,"Catamount Cannabis Company, LLC",413-489-0699,1105 Mohawk Trail,cty94,MA,1370,42.6033501,-72.671693,ct5
MC282250,APPROVED,"NAP ADVISORS, LLC",774-571-7956,62 Christian Lane,cty5,MA,1373,42.4448327,-72.62372131,ct5
MC282540,APPROVED,"Good Chemistry Nurseries of Massachusetts, LLC",303-810-1554,50 Congress Street,cty6,MA,2109,42.3580051,-71.05599076,ct6
MC283578,APPROVED,"Kief USA, LLC",857-321-1588,1 Turner Street fka 330 Turner Street,cty22,MA,2703,41.897463,-71.380157,ct8
PMD5785,APPROVED,KushKart,845-741-5582,11 Hadwen Road,cty47,MA,1602,42.2665085,-71.83170913,ct10
MR283231,APPROVED,Caregiver-Patient Connection LLC/d.b.a. Local Roots,978-621-3567,365 Main St,cty95,MA,1566,42.11120635,-72.08880905,ct10
MC281899,APPROVED,Mainely Productions LLC,207-522-1308,660 Douglas street,cty23,MA,1569,42.0624603,-71.66928172,ct10
IL281311,APPROVED,"Green Armory Laboratories, Inc",978-807-8048,124 West Boylston Street,cty47,MA,1606,42.293393,-71.80402011,ct10
MR284805,PENDING,"Lazy River Products - Tewksbury, LLC",978-549-2266,553 Main Street Unit 2,cty96,MA,1876,42.6183625,-71.25334335,ct3
MP281564,APPROVED,NS AJO Holdings Inc.,617-610-0761,67 Dana Street,cty97,MA,2138,42.37351035,-71.10807396,ct3
MP281555,APPROVED,TYCA Green,617-646-9489,470 Main St.,cty49,MA,1510,42.41646087,-71.68936207,ct10
MR283113,APPROVED,"B.O.T. REALTY, LLC",978-503-7040,223 LUNENBURG ST,cty98,MA,1420,42.584863,-71.780426,ct10
MD1262,APPROVED,Grassp Ventures LLC,617-852-0397,141 W State St,cty99,MA,1033,42.25423135,-72.5361212,ct9
MR282975,APPROVED,RC Retail Amherst LLC,203-639-5153,328 College Street,cty100,MA,1002,42.37301911,-72.50306374,ct9
MR283714,APPROVED,"Thrive Cultivation & Dispensary, LLC",781-858-9491,53 Midland Drive,cty18,MA,2451,42.42043915,-71.26226669,ct3
