SaleDate,PRODUCT_CATEGORY,UNIT_OF_MEASURE,RecordNo,TOTAL_$,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
11/28/2018,Infused (non-edible),Each,44,2852.86,72,2852.86,0,0,72,3/22/2024
11/28/2018,Buds,Each,44,24806.63,1083,24806.63,0,0,1083,3/22/2024
11/29/2018,Kief,Grams,50,324.5,0,0,68.9,324.5,68.9,3/22/2024
11/29/2018,Infused (non-edible),Each,50,2479.02,65,2479.02,0,0,65,3/22/2024
11/29/2018,Buds,Grams,50,123003.48,0,0,8611.46,123003.48,8611.46,3/22/2024
11/29/2018,Infused (edible),Each,50,49645.81,1978,49645.81,0,0,1978,3/22/2024
11/29/2018,Concentrate,Grams,50,26665.24,0,0,337.9,26665.24,337.9,3/22/2024
11/29/2018,Concentrate (Each),Each,50,110076.01,1916,110076.01,0,0,1916,3/22/2024
11/29/2018,Buds,Each,50,33058.35,1365,33058.35,0,0,1365,3/22/2024
11/30/2018,Concentrate (Each),Each,57,136600.57,2413,136600.57,0,0,2413,3/22/2024
11/30/2018,Buds,Grams,57,143105.1,0,0,10046.33,143105.1,10046.33,3/22/2024
11/30/2018,Concentrate,Grams,57,32724.85,0,0,395.7,32724.85,395.7,3/22/2024
11/30/2018,Kief,Grams,57,775,0,0,164.3,775,164.3,3/22/2024
11/30/2018,Buds,Each,57,43098.08,2283,43098.08,0,0,2283,3/22/2024
11/30/2018,Infused (non-edible),Each,57,2156.87,65,2156.87,0,0,65,3/22/2024
11/30/2018,Infused (edible),Each,57,66339.82,2459,66339.82,0,0,2459,3/22/2024
12/1/2018,Infused (edible),Each,64,68948.78,2885,68948.78,0,0,2885,3/22/2024
12/1/2018,Buds,Grams,64,106046.33,0,0,7446.85,106046.33,7446.85,3/22/2024
12/1/2018,Concentrate,Grams,64,40064.31,0,0,363.8,40064.31,363.8,3/22/2024
12/1/2018,Buds,Each,64,66860.22,2899,66860.22,0,0,2899,3/22/2024
12/1/2018,Concentrate (Each),Each,64,134890.91,2388,134890.91,0,0,2388,3/22/2024
12/1/2018,Infused (non-edible),Each,64,2039.51,60,2039.51,0,0,60,3/22/2024
12/1/2018,Kief,Grams,64,475,0,0,100.7,475,100.7,3/22/2024
12/2/2018,Concentrate,Grams,71,17577.79,0,0,137.1,17577.79,137.1,3/22/2024
12/2/2018,Infused (edible),Each,71,57128.76,2823,57128.76,0,0,2823,3/22/2024
12/2/2018,Buds,Grams,71,109052.28,0,0,7743.08,109052.28,7743.08,3/22/2024
12/2/2018,Concentrate (Each),Each,71,114492.04,1994,114492.04,0,0,1994,3/22/2024
12/2/2018,Infused (non-edible),Each,71,2245.01,66,2245.01,0,0,66,3/22/2024
12/2/2018,Kief,Grams,71,150,0,0,31.8,150,31.8,3/22/2024
12/2/2018,Buds,Each,71,48606.98,3082,48606.98,0,0,3082,3/22/2024
12/3/2018,Infused (edible),Each,78,39894.84,1701,39894.84,0,0,1701,3/22/2024
12/3/2018,Buds,Each,78,30814.05,1851,30814.05,0,0,1851,3/22/2024
12/3/2018,Infused (non-edible),Each,78,1440.24,44,1440.24,0,0,44,3/22/2024
12/3/2018,Concentrate (Each),Each,78,83384.09,1732,83384.09,0,0,1732,3/22/2024
12/3/2018,Buds,Grams,78,115967.58,0,0,8432.32,115967.58,8432.32,3/22/2024
12/4/2018,Buds,Each,83,29094.48,1850,29094.48,0,0,1850,3/22/2024
12/4/2018,Infused (edible),Each,83,53078.47,2185,53078.47,0,0,2185,3/22/2024
12/4/2018,Buds,Grams,83,99527.07,0,0,7125.75,99527.07,7125.75,3/22/2024
12/4/2018,Concentrate (Each),Each,83,78980.05,1658,78980.05,0,0,1658,3/22/2024
12/4/2018,Kief,Grams,83,75,0,0,15.9,75,15.9,3/22/2024
12/4/2018,Infused (non-edible),Each,83,1942.58,53,1942.58,0,0,53,3/22/2024
12/5/2018,Concentrate (Each),Each,89,92796.59,1952,92796.59,0,0,1952,3/22/2024
12/5/2018,Concentrate,Grams,89,8658.45,0,0,64.2,8658.45,64.2,3/22/2024
12/5/2018,Infused (non-edible),Each,89,2089,59,2089,0,0,59,3/22/2024
12/5/2018,Buds,Each,89,24623.77,1557,24623.77,0,0,1557,3/22/2024
12/5/2018,Buds,Grams,89,108250.12,0,0,7765.12,108250.12,7765.12,3/22/2024
12/5/2018,Infused (edible),Each,89,55627.93,2180,55627.93,0,0,2180,3/22/2024
12/6/2018,Concentrate,Grams,95,18719.33,0,0,138.6,18719.33,138.6,3/22/2024
12/6/2018,Buds,Each,95,11983.49,1391,11983.49,0,0,1391,3/22/2024
12/6/2018,Buds,Grams,95,128638.47,0,0,9218,128638.47,9218,3/22/2024
12/6/2018,Infused (edible),Each,95,43722.78,1459,43722.78,0,0,1459,3/22/2024
12/6/2018,Infused (non-edible),Each,95,2750,85,2750,0,0,85,3/22/2024
12/6/2018,Concentrate (Each),Each,95,99448.4,2112,99448.4,0,0,2112,3/22/2024
12/6/2018,Kief,Grams,95,25,0,0,5.3,25,5.3,3/22/2024
12/7/2018,Kief,Each,102,2624.35,106,2624.35,0,0,106,3/22/2024
12/7/2018,Concentrate (Each),Each,102,110864.85,2268,110864.85,0,0,2268,3/22/2024
12/7/2018,Buds,Each,102,21795.71,2597,21795.71,0,0,2597,3/22/2024
12/7/2018,Infused (non-edible),Each,102,1868.87,57,1868.87,0,0,57,3/22/2024
12/7/2018,Kief,Grams,102,75,0,0,15.9,75,15.9,3/22/2024
12/7/2018,Infused (edible),Each,102,52638.22,1615,52638.22,0,0,1615,3/22/2024
12/7/2018,Concentrate,Each,102,12080.59,202,12080.59,0,0,202,3/22/2024
12/7/2018,Buds,Grams,102,171248.13,0,0,12560.33,171248.13,12560.33,3/22/2024
12/7/2018,Concentrate,Grams,102,18722.3,0,0,139.2,18722.3,139.2,3/22/2024
12/8/2018,Kief,Each,111,25,1,25,0,0,1,3/22/2024
12/8/2018,Buds,Grams,111,154432.54,0,0,11241.61,154432.54,11241.61,3/22/2024
12/8/2018,Concentrate (Each),Each,111,118974.38,2488,118974.38,0,0,2488,3/22/2024
12/8/2018,Infused (non-edible),Each,111,1430.01,42,1430.01,0,0,42,3/22/2024
12/8/2018,Concentrate,Each,111,4192.68,70,4192.68,0,0,70,3/22/2024
12/8/2018,Concentrate,Grams,111,17927.89,0,0,144.7,17927.89,144.7,3/22/2024
12/8/2018,Buds,Each,111,24843.25,2762,24843.25,0,0,2762,3/22/2024
12/8/2018,Infused (edible),Each,111,60710.19,2108,60710.19,0,0,2108,3/22/2024
12/9/2018,Kief,Each,119,75,3,75,0,0,3,3/22/2024
12/9/2018,Buds,Each,119,16879.58,2089,16879.58,0,0,2089,3/22/2024
12/9/2018,Concentrate (Each),Each,119,94115.53,1937,94115.53,0,0,1937,3/22/2024
12/9/2018,Infused (non-edible),Each,119,1735,47,1735,0,0,47,3/22/2024
12/9/2018,Buds,Grams,119,131569.21,0,0,9488.66,131569.21,9488.66,3/22/2024
12/9/2018,Concentrate,Grams,119,19269.68,0,0,158,19269.68,158,3/22/2024
12/9/2018,Infused (edible),Each,119,48214.42,1821,48214.42,0,0,1821,3/22/2024
12/10/2018,Concentrate (Each),Each,126,81454.14,1686,81454.14,0,0,1686,3/22/2024
12/10/2018,Buds,Each,126,15423.04,1942,15423.04,0,0,1942,3/22/2024
12/10/2018,Concentrate,Each,126,60,1,60,0,0,1,3/22/2024
12/10/2018,Infused (non-edible),Each,126,1410,42,1410,0,0,42,3/22/2024
12/10/2018,Buds,Grams,126,111699.31,0,0,8082.18,111699.31,8082.18,3/22/2024
12/10/2018,Infused (edible),Each,126,39390.24,1418,39390.24,0,0,1418,3/22/2024
12/10/2018,Concentrate,Grams,126,17989.1,0,0,147.5,17989.1,147.5,3/22/2024
12/11/2018,Infused (non-edible),Each,133,1968,54,1968,0,0,54,3/22/2024
12/11/2018,Buds,Each,133,12256.2,1541,12256.2,0,0,1541,3/22/2024
12/11/2018,Concentrate (Each),Each,133,81744.42,1676,81744.42,0,0,1676,3/22/2024
12/11/2018,Concentrate,Grams,133,25916.5,0,0,212.5,25916.5,212.5,3/22/2024
12/11/2018,Buds,Grams,133,121459.5,0,0,8748.15,121459.5,8748.15,3/22/2024
12/11/2018,Infused (edible),Each,133,45620.05,1615,45620.05,0,0,1615,3/22/2024
12/12/2018,Infused (edible),Each,139,44304.56,1264,44304.56,0,0,1264,3/22/2024
12/12/2018,Buds,Grams,139,108230.51,0,0,7588.89,108230.51,7588.89,3/22/2024
12/12/2018,Concentrate (Each),Each,139,97675.47,1897,97675.47,0,0,1897,3/22/2024
12/12/2018,Infused (non-edible),Each,139,2800,75,2800,0,0,75,3/22/2024
12/12/2018,Concentrate,Grams,139,23371.39,0,0,192,23371.39,192,3/22/2024
12/12/2018,Buds,Each,139,9905.5,1242,9905.5,0,0,1242,3/22/2024
12/13/2018,Kief,Each,145,2174.48,87,2174.48,0,0,87,3/22/2024
12/13/2018,Concentrate,Grams,145,21403.16,0,0,176,21403.16,176,3/22/2024
12/13/2018,Concentrate (Each),Each,145,91130.4,1738,91130.4,0,0,1738,3/22/2024
12/13/2018,Infused (edible),Each,145,52491.45,1667,52491.45,0,0,1667,3/22/2024
12/13/2018,Buds,Each,145,20381.7,2556,20381.7,0,0,2556,3/22/2024
12/13/2018,Infused (non-edible),Each,145,2329.09,61,2329.09,0,0,61,3/22/2024
12/13/2018,Buds,Grams,145,112135.76,0,0,7908.19,112135.76,7908.19,3/22/2024
12/14/2018,Concentrate,Each,152,310.89,5,310.89,0,0,5,3/22/2024
12/14/2018,Concentrate (Each),Each,152,116462.48,2296,116462.48,0,0,2296,3/22/2024
12/14/2018,Infused (non-edible),Each,152,2618.15,56,2618.15,0,0,56,3/22/2024
12/14/2018,Buds,Each,152,12176.24,1514,12176.24,0,0,1514,3/22/2024
12/14/2018,Infused (edible),Each,152,59653.73,2210,59653.73,0,0,2210,3/22/2024
12/14/2018,Kief,Each,152,2955.75,120,2955.75,0,0,120,3/22/2024
12/14/2018,Concentrate,Grams,152,27215.97,0,0,223.5,27215.97,223.5,3/22/2024
12/14/2018,Buds,Grams,152,130561.89,0,0,9467.21,130561.89,9467.21,3/22/2024
12/15/2018,Concentrate (Each),Each,160,117649.77,2397,117649.77,0,0,2397,3/22/2024
12/15/2018,Infused (non-edible),Each,160,39694.79,667,39694.79,0,0,667,3/22/2024
12/15/2018,Shake/Trim (by strain),Grams,160,5430,0,0,364,5430,364,3/22/2024
12/15/2018,Concentrate,Grams,160,24209.06,0,0,199,24209.06,199,3/22/2024
12/15/2018,Buds,Grams,160,148148.77,0,0,10475.26,148148.77,10475.26,3/22/2024
12/15/2018,Infused (edible),Each,160,65337.24,2910,65337.24,0,0,2910,3/22/2024
12/15/2018,Buds,Each,160,7467.65,944,7467.65,0,0,944,3/22/2024
12/15/2018,Kief,Each,160,425.16,18,425.16,0,0,18,3/22/2024
12/16/2018,Shake/Trim (by strain),Grams,168,3340,0,0,224,3340,224,3/22/2024
12/16/2018,Concentrate,Grams,168,26465.32,0,0,217,26465.32,217,3/22/2024
12/16/2018,Infused (edible),Each,168,41459.98,1638,41459.98,0,0,1638,3/22/2024
12/16/2018,Concentrate (Each),Each,168,108276.64,2200,108276.64,0,0,2200,3/22/2024
12/16/2018,Buds,Grams,168,134532.8,0,0,9687.07,134532.8,9687.07,3/22/2024
12/16/2018,Buds,Each,168,11150.39,1406,11150.39,0,0,1406,3/22/2024
12/16/2018,Infused (non-edible),Each,168,37140.59,631,37140.59,0,0,631,3/22/2024
12/17/2018,Infused (non-edible),Each,175,31076,517,31076,0,0,517,3/22/2024
12/17/2018,Buds,Grams,175,148299.79,0,0,10595.07,148299.79,10595.07,3/22/2024
12/17/2018,Infused (edible),Each,175,31113.22,1073,31113.22,0,0,1073,3/22/2024
12/17/2018,Concentrate (Each),Each,175,117479.98,2388,117479.98,0,0,2388,3/22/2024
12/17/2018,Concentrate,Grams,175,4695.46,0,0,38.5,4695.46,38.5,3/22/2024
12/17/2018,Shake/Trim (by strain),Grams,175,3297,0,0,221,3297,221,3/22/2024
12/17/2018,Buds,Each,175,310.25,34,310.25,0,0,34,3/22/2024
12/18/2018,Shake/Trim (by strain),Grams,182,2956,0,0,201,2956,201,3/22/2024
12/18/2018,Infused (edible),Each,182,24586.86,925,24586.86,0,0,925,3/22/2024
12/18/2018,Buds,Each,182,8888.94,588,8888.94,0,0,588,3/22/2024
12/18/2018,Buds,Grams,182,146063.25,0,0,10355.91,146063.25,10355.91,3/22/2024
12/18/2018,Concentrate (Each),Each,182,118554.55,2476,118554.55,0,0,2476,3/22/2024
12/18/2018,Infused (non-edible),Each,182,32631.95,522,32631.95,0,0,522,3/22/2024
12/19/2018,Shake/Trim (by strain),Grams,188,1350,0,0,90,1350,90,3/22/2024
12/19/2018,Concentrate (Each),Each,188,141604.38,2950,141604.38,0,0,2950,3/22/2024
12/19/2018,Infused (non-edible),Each,188,31195,512,31195,0,0,512,3/22/2024
12/19/2018,Buds,Grams,188,156222.74,0,0,11128.06,156222.74,11128.06,3/22/2024
12/19/2018,Buds,Each,188,4799,585,4799,0,0,585,3/22/2024
12/19/2018,Infused (edible),Each,188,19963.49,474,19963.49,0,0,474,3/22/2024
12/20/2018,Buds,Each,194,29123.35,2446,29123.35,0,0,2446,3/22/2024
12/20/2018,Buds,Grams,194,164471.92,0,0,11749.45,164471.92,11749.45,3/22/2024
12/20/2018,Infused (edible),Each,194,21106.68,610,21106.68,0,0,610,3/22/2024
12/20/2018,Concentrate,Each,194,10196.42,173,10196.42,0,0,173,3/22/2024
12/20/2018,Concentrate (Each),Each,194,129448.06,2654,129448.06,0,0,2654,3/22/2024
12/20/2018,Infused (non-edible),Each,194,33564.92,482,33564.92,0,0,482,3/22/2024
12/20/2018,Shake/Trim (by strain),Grams,194,9,0,0,1,9,1,3/22/2024
12/21/2018,Concentrate,Each,201,10224.01,172,10224.01,0,0,172,3/22/2024
12/21/2018,Infused (non-edible),Each,201,28620,403,28620,0,0,403,3/22/2024
12/21/2018,Buds,Grams,201,153494.12,0,0,10541.8,153494.12,10541.8,3/22/2024
12/21/2018,Shake/Trim (by strain),Grams,201,5477.56,0,0,370,5477.56,370,3/22/2024
12/21/2018,Concentrate,Grams,201,3112.08,0,0,249.1,3112.08,249.1,3/22/2024
12/21/2018,Buds,Each,201,25477.84,2133,25477.84,0,0,2133,3/22/2024
12/21/2018,Infused (edible),Each,201,40496.16,1534,40496.16,0,0,1534,3/22/2024
12/21/2018,Concentrate (Each),Each,201,152533.45,3183,152533.45,0,0,3183,3/22/2024
12/21/2018,Kief,Grams,201,886,0,0,169.6,886,169.6,3/22/2024
12/22/2018,Kief,Grams,210,1363.82,0,0,46,1363.82,46,3/22/2024
12/22/2018,Buds,Each,210,32204.28,2707,32204.28,0,0,2707,3/22/2024
12/22/2018,Concentrate,Each,210,12247.22,207,12247.22,0,0,207,3/22/2024
12/22/2018,Concentrate (Each),Each,210,188999.15,3811,188999.15,0,0,3811,3/22/2024
12/22/2018,Concentrate,Grams,210,3452.69,0,0,49,3452.69,49,3/22/2024
12/22/2018,Infused (edible),Each,210,65431.03,2913,65431.03,0,0,2913,3/22/2024
12/22/2018,Infused (non-edible),Each,210,30842,394,30842,0,0,394,3/22/2024
12/22/2018,Shake/Trim (by strain),Grams,210,8900.94,0,0,557,8900.94,557,3/22/2024
12/22/2018,Buds,Grams,210,196398.43,0,0,12137.16,196398.43,12137.16,3/22/2024
12/23/2018,Infused (non-edible),Each,219,19950,283,19950,0,0,283,3/22/2024
12/23/2018,Shake/Trim (by strain),Grams,219,8332.26,0,0,528,8332.26,528,3/22/2024
12/23/2018,Concentrate (Each),Each,219,167639.02,3363,167639.02,0,0,3363,3/22/2024
12/23/2018,Concentrate,Grams,219,2001.6,0,0,28,2001.6,28,3/22/2024
12/23/2018,Kief,Grams,219,570,0,0,19,570,19,3/22/2024
12/23/2018,Buds,Each,219,7057.11,589,7057.11,0,0,589,3/22/2024
12/23/2018,Concentrate,Each,219,360,6,360,0,0,6,3/22/2024
12/23/2018,Buds,Grams,219,177566.94,0,0,12372.19,177566.94,12372.19,3/22/2024
12/23/2018,Infused (edible),Each,219,56612.88,2447,56612.88,0,0,2447,3/22/2024
12/24/2018,Concentrate,Each,228,60,1,60,0,0,1,3/22/2024
12/24/2018,Shake/Trim (by strain),Grams,228,1350,0,0,92,1350,92,3/22/2024
12/24/2018,Buds,Grams,228,112159.1,0,0,8016.83,112159.1,8016.83,3/22/2024
12/24/2018,Buds,Each,228,90.43,9,90.43,0,0,9,3/22/2024
12/24/2018,Infused (edible),Each,228,27155.23,1242,27155.23,0,0,1242,3/22/2024
12/24/2018,Concentrate (Each),Each,228,117111.93,2375,117111.93,0,0,2375,3/22/2024
12/24/2018,Infused (non-edible),Each,228,11207,206,11207,0,0,206,3/22/2024
12/26/2018,Infused (edible),Each,235,35737.41,1507,35737.41,0,0,1507,3/22/2024
12/26/2018,Buds,Grams,235,220058.54,0,0,15164.95,220058.54,15164.95,3/22/2024
12/26/2018,Buds,Each,235,15732,1311,15732,0,0,1311,3/22/2024
12/26/2018,Kief,Grams,235,960,0,0,32,960,32,3/22/2024
12/26/2018,Concentrate (Each),Each,235,210897.31,3873,210897.31,0,0,3873,3/22/2024
12/26/2018,Concentrate,Grams,235,6257.71,0,0,74,6257.71,74,3/22/2024
12/26/2018,Shake/Trim (by strain),Grams,235,8809.1,0,0,552.25,8809.1,552.25,3/22/2024
12/26/2018,Concentrate,Each,235,180,3,180,0,0,3,3/22/2024
12/26/2018,Infused (non-edible),Each,235,16715,309,16715,0,0,309,3/22/2024
12/27/2018,Concentrate,Each,244,480,8,480,0,0,8,3/22/2024
12/27/2018,Kief,Grams,244,930,0,0,31,930,31,3/22/2024
12/27/2018,Infused (edible),Each,244,45623.73,2064,45623.73,0,0,2064,3/22/2024
12/27/2018,Buds,Each,244,6899.8,576,6899.8,0,0,576,3/22/2024
12/27/2018,Shake/Trim (by strain),Grams,244,7734.84,0,0,491.25,7734.84,491.25,3/22/2024
12/27/2018,Buds,Grams,244,232209.71,0,0,15885.5,232209.71,15885.5,3/22/2024
12/27/2018,Infused (non-edible),Each,244,24456.4,405,24456.4,0,0,405,3/22/2024
12/27/2018,Concentrate,Grams,244,2664,0,0,37,2664,37,3/22/2024
12/27/2018,Concentrate (Each),Each,244,221235.85,4003,221235.85,0,0,4003,3/22/2024
12/28/2018,Infused (non-edible),Each,253,19645,343,19645,0,0,343,3/22/2024
12/28/2018,Infused (edible),Each,253,45377.28,2272,45377.28,0,0,2272,3/22/2024
12/28/2018,Buds,Grams,253,225193.28,0,0,15798.84,225193.28,15798.84,3/22/2024
12/28/2018,Shake/Trim (by strain),Grams,253,10141.8,0,0,632.25,10141.8,632.25,3/22/2024
12/28/2018,Concentrate,Grams,253,2880,0,0,40,2880,40,3/22/2024
12/28/2018,Kief,Grams,253,1200,0,0,40,1200,40,3/22/2024
12/28/2018,Concentrate (Each),Each,253,224543.65,3989,224543.65,0,0,3989,3/22/2024
12/28/2018,Buds,Each,253,624,52,624,0,0,52,3/22/2024
12/28/2018,Concentrate,Each,253,360.01,7,360.01,0,0,7,3/22/2024
12/29/2018,Concentrate,Grams,262,4032,0,0,56,4032,56,3/22/2024
12/29/2018,Shake/Trim (by strain),Grams,262,9393,0,0,582,9393,582,3/22/2024
12/29/2018,Infused (non-edible),Each,262,19690,267,19690,0,0,267,3/22/2024
12/29/2018,Kief,Grams,262,1290,0,0,43,1290,43,3/22/2024
12/29/2018,Buds,Each,262,28555.85,2402,28555.85,0,0,2402,3/22/2024
12/29/2018,Infused (edible),Each,262,35460.02,2006,35460.02,0,0,2006,3/22/2024
12/29/2018,Buds,Grams,262,206455.06,0,0,14332.9,206455.06,14332.9,3/22/2024
12/29/2018,Concentrate (Each),Each,262,197136.87,3490,197136.87,0,0,3490,3/22/2024
12/30/2018,Shake/Trim (by strain),Grams,270,8317.2,0,0,520.25,8317.2,520.25,3/22/2024
12/30/2018,Concentrate (Each),Each,270,181328,3208,181328,0,0,3208,3/22/2024
12/30/2018,Buds,Each,270,20523.63,1716,20523.63,0,0,1716,3/22/2024
12/30/2018,Infused (non-edible),Each,270,13600,220,13600,0,0,220,3/22/2024
12/30/2018,Concentrate,Grams,270,1872,0,0,26,1872,26,3/22/2024
12/30/2018,Infused (edible),Each,270,18441.61,944,18441.61,0,0,944,3/22/2024
12/30/2018,Kief,Grams,270,630,0,0,21,630,21,3/22/2024
12/30/2018,Buds,Grams,270,202496.26,0,0,14298.78,202496.26,14298.78,3/22/2024
12/31/2018,Concentrate,Each,278,9120.02,155,9120.02,0,0,155,3/22/2024
12/31/2018,Kief,Grams,278,1080,0,0,36,1080,36,3/22/2024
12/31/2018,Shake/Trim (by strain),Grams,278,6847.2,0,0,427.5,6847.2,427.5,3/22/2024
12/31/2018,Concentrate,Grams,278,1992,0,0,31,1992,31,3/22/2024
12/31/2018,Infused (edible),Each,278,15443.84,635,15443.84,0,0,635,3/22/2024
12/31/2018,Buds,Each,278,24532.2,2053,24532.2,0,0,2053,3/22/2024
12/31/2018,Concentrate (Each),Each,278,137907.27,2480,137907.27,0,0,2480,3/22/2024
12/31/2018,Infused (non-edible),Each,278,5691,83,5691,0,0,83,3/22/2024
12/31/2018,Buds,Grams,278,148043.25,0,0,10186.49,148043.25,10186.49,3/22/2024
1/1/2019,Infused (edible),Each,287,9216.01,296,9216.01,0,0,296,3/22/2024
1/1/2019,Concentrate (Each),Each,287,76780.27,1499,76780.27,0,0,1499,3/22/2024
1/1/2019,Buds,Each,287,10218.21,868,10218.21,0,0,868,3/22/2024
1/1/2019,Concentrate,Each,287,1080.01,19,1080.01,0,0,19,3/22/2024
1/1/2019,Buds,Grams,287,59262.68,0,0,4201.2,59262.68,4201.2,3/22/2024
1/2/2019,Concentrate (Each),Each,292,147551.2,2809,147551.2,0,0,2809,3/22/2024
1/2/2019,Buds,Each,292,19555.43,1652,19555.43,0,0,1652,3/22/2024
1/2/2019,Infused (edible),Each,292,30727.37,1236,30727.37,0,0,1236,3/22/2024
1/2/2019,Concentrate,Grams,292,2532,0,0,33,2532,33,3/22/2024
1/2/2019,Concentrate,Each,292,4860.36,82,4860.36,0,0,82,3/22/2024
1/2/2019,Shake/Trim (by strain),Grams,292,5274.6,0,0,329.75,5274.6,329.75,3/22/2024
1/2/2019,Buds,Grams,292,159792.35,0,0,11173.32,159792.35,11173.32,3/22/2024
1/2/2019,Infused (non-edible),Each,292,8640,125,8640,0,0,125,3/22/2024
1/2/2019,Kief,Grams,292,360,0,0,12,360,12,3/22/2024
1/3/2019,Buds,Grams,301,169249.51,0,0,11933.69,169249.51,11933.69,3/22/2024
1/3/2019,Concentrate (Each),Each,301,137233.32,2475,137233.32,0,0,2475,3/22/2024
1/3/2019,Buds,Each,301,6239.69,526,6239.69,0,0,526,3/22/2024
1/3/2019,Concentrate,Grams,301,2826,0,0,37.5,2826,37.5,3/22/2024
1/3/2019,Shake/Trim (by strain),Grams,301,6384.02,0,0,411,6384.02,411,3/22/2024
1/3/2019,Concentrate,Each,301,5100.01,86,5100.01,0,0,86,3/22/2024
1/3/2019,Infused (edible),Each,301,19828.13,873,19828.13,0,0,873,3/22/2024
