RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
19,11/24/2018,Kief,Grams,2618.11,0,0,561.8,2618.11,561.8,3/22/2024
25,11/25/2018,Concentrate (Each),Each,149223.17,2628,149223.17,0,0,2628,3/22/2024
25,11/25/2018,Kief,Grams,1847.5,0,0,392.2,1847.5,392.2,3/22/2024
25,11/25/2018,Infused (non-edible),Each,2331.98,80,2331.98,0,0,80,3/22/2024
25,11/25/2018,Buds,Each,19387.54,901,19387.54,0,0,901,3/22/2024
25,11/25/2018,Infused (edible),Each,62373.99,2436,62373.99,0,0,2436,3/22/2024
25,11/25/2018,Buds,Grams,152471.61,0,0,10678.07,152471.61,10678.07,3/22/2024
31,11/26/2018,Kief,Grams,1600,0,0,339.2,1600,339.2,3/22/2024
31,11/26/2018,Infused (edible),Each,52885.36,2014,52885.36,0,0,2014,3/22/2024
31,11/26/2018,Buds,Each,18225.56,658,18225.56,0,0,658,3/22/2024
31,11/26/2018,Buds,Grams,138458.52,0,0,9713.43,138458.52,9713.43,3/22/2024
31,11/26/2018,Infused (non-edible),Each,2348.51,69,2348.51,0,0,69,3/22/2024
31,11/26/2018,Concentrate (Each),Each,137044.82,2322,137044.82,0,0,2322,3/22/2024
37,11/27/2018,Buds,Grams,127083.76,0,0,8840.1,127083.76,8840.1,3/22/2024
37,11/27/2018,Concentrate (Each),Each,115325.97,1991,115325.97,0,0,1991,3/22/2024
37,11/27/2018,Concentrate,Grams,8414.66,0,0,74.2,8414.66,74.2,3/22/2024
37,11/27/2018,Infused (non-edible),Each,1751.74,56,1751.74,0,0,56,3/22/2024
37,11/27/2018,Kief,Grams,375,0,0,79.5,375,79.5,3/22/2024
37,11/27/2018,Buds,Each,13392.6,465,13392.6,0,0,465,3/22/2024
37,11/27/2018,Infused (edible),Each,51937.98,2149,51937.98,0,0,2149,3/22/2024
44,11/28/2018,Buds,Each,24806.63,1083,24806.63,0,0,1083,3/22/2024
44,11/28/2018,Buds,Grams,123834.61,0,0,8671.14,123834.61,8671.14,3/22/2024
44,11/28/2018,Concentrate (Each),Each,104062.6,1827,104062.6,0,0,1827,3/22/2024
44,11/28/2018,Infused (edible),Each,59846.47,2333,59846.47,0,0,2333,3/22/2024
44,11/28/2018,Concentrate,Grams,19043.18,0,0,216.6,19043.18,216.6,3/22/2024
44,11/28/2018,Infused (non-edible),Each,2852.86,72,2852.86,0,0,72,3/22/2024
50,11/29/2018,Kief,Grams,324.5,0,0,68.9,324.5,68.9,3/22/2024
50,11/29/2018,Infused (non-edible),Each,2479.02,65,2479.02,0,0,65,3/22/2024
50,11/29/2018,Infused (edible),Each,49645.81,1978,49645.81,0,0,1978,3/22/2024
50,11/29/2018,Concentrate,Grams,26665.24,0,0,337.9,26665.24,337.9,3/22/2024
50,11/29/2018,Buds,Each,33058.35,1365,33058.35,0,0,1365,3/22/2024
50,11/29/2018,Buds,Grams,123003.48,0,0,8611.46,123003.48,8611.46,3/22/2024
50,11/29/2018,Concentrate (Each),Each,110076.01,1916,110076.01,0,0,1916,3/22/2024
57,11/30/2018,Infused (non-edible),Each,2156.87,65,2156.87,0,0,65,3/22/2024
57,11/30/2018,Infused (edible),Each,66339.82,2459,66339.82,0,0,2459,3/22/2024
57,11/30/2018,Concentrate,Grams,32724.85,0,0,395.7,32724.85,395.7,3/22/2024
57,11/30/2018,Buds,Grams,143105.1,0,0,10046.33,143105.1,10046.33,3/22/2024
57,11/30/2018,Buds,Each,43098.08,2283,43098.08,0,0,2283,3/22/2024
57,11/30/2018,Concentrate (Each),Each,136600.57,2413,136600.57,0,0,2413,3/22/2024
57,11/30/2018,Kief,Grams,775,0,0,164.3,775,164.3,3/22/2024
64,12/1/2018,Kief,Grams,475,0,0,100.7,475,100.7,3/22/2024
64,12/1/2018,Concentrate (Each),Each,134890.91,2388,134890.91,0,0,2388,3/22/2024
64,12/1/2018,Infused (edible),Each,68948.78,2885,68948.78,0,0,2885,3/22/2024
64,12/1/2018,Buds,Grams,106046.33,0,0,7446.85,106046.33,7446.85,3/22/2024
64,12/1/2018,Infused (non-edible),Each,2039.51,60,2039.51,0,0,60,3/22/2024
64,12/1/2018,Buds,Each,66860.22,2899,66860.22,0,0,2899,3/22/2024
64,12/1/2018,Concentrate,Grams,40064.31,0,0,363.8,40064.31,363.8,3/22/2024
71,12/2/2018,Kief,Grams,150,0,0,31.8,150,31.8,3/22/2024
71,12/2/2018,Infused (edible),Each,57128.76,2823,57128.76,0,0,2823,3/22/2024
71,12/2/2018,Buds,Grams,109052.28,0,0,7743.08,109052.28,7743.08,3/22/2024
71,12/2/2018,Concentrate (Each),Each,114492.04,1994,114492.04,0,0,1994,3/22/2024
71,12/2/2018,Buds,Each,48606.98,3082,48606.98,0,0,3082,3/22/2024
71,12/2/2018,Concentrate,Grams,17577.79,0,0,137.1,17577.79,137.1,3/22/2024
71,12/2/2018,Infused (non-edible),Each,2245.01,66,2245.01,0,0,66,3/22/2024
78,12/3/2018,Buds,Each,30814.05,1851,30814.05,0,0,1851,3/22/2024
78,12/3/2018,Infused (non-edible),Each,1440.24,44,1440.24,0,0,44,3/22/2024
78,12/3/2018,Buds,Grams,115967.58,0,0,8432.32,115967.58,8432.32,3/22/2024
78,12/3/2018,Concentrate (Each),Each,83384.09,1732,83384.09,0,0,1732,3/22/2024
78,12/3/2018,Infused (edible),Each,39894.84,1701,39894.84,0,0,1701,3/22/2024
83,12/4/2018,Infused (non-edible),Each,1942.58,53,1942.58,0,0,53,3/22/2024
83,12/4/2018,Kief,Grams,75,0,0,15.9,75,15.9,3/22/2024
83,12/4/2018,Infused (edible),Each,53078.47,2185,53078.47,0,0,2185,3/22/2024
83,12/4/2018,Buds,Each,29094.48,1850,29094.48,0,0,1850,3/22/2024
83,12/4/2018,Concentrate (Each),Each,78980.05,1658,78980.05,0,0,1658,3/22/2024
83,12/4/2018,Buds,Grams,99527.07,0,0,7125.75,99527.07,7125.75,3/22/2024
89,12/5/2018,Buds,Grams,108250.12,0,0,7765.12,108250.12,7765.12,3/22/2024
89,12/5/2018,Concentrate,Grams,8658.45,0,0,64.2,8658.45,64.2,3/22/2024
89,12/5/2018,Concentrate (Each),Each,92796.59,1952,92796.59,0,0,1952,3/22/2024
89,12/5/2018,Buds,Each,24623.77,1557,24623.77,0,0,1557,3/22/2024
89,12/5/2018,Infused (edible),Each,55627.93,2180,55627.93,0,0,2180,3/22/2024
89,12/5/2018,Infused (non-edible),Each,2089,59,2089,0,0,59,3/22/2024
95,12/6/2018,Infused (edible),Each,43722.78,1459,43722.78,0,0,1459,3/22/2024
95,12/6/2018,Concentrate,Grams,18719.33,0,0,138.6,18719.33,138.6,3/22/2024
95,12/6/2018,Kief,Grams,25,0,0,5.3,25,5.3,3/22/2024
95,12/6/2018,Buds,Grams,128638.47,0,0,9218,128638.47,9218,3/22/2024
95,12/6/2018,Concentrate (Each),Each,99448.4,2112,99448.4,0,0,2112,3/22/2024
95,12/6/2018,Infused (non-edible),Each,2750,85,2750,0,0,85,3/22/2024
95,12/6/2018,Buds,Each,11983.49,1391,11983.49,0,0,1391,3/22/2024
102,12/7/2018,Concentrate (Each),Each,110864.85,2268,110864.85,0,0,2268,3/22/2024
102,12/7/2018,Buds,Grams,171248.13,0,0,12560.33,171248.13,12560.33,3/22/2024
102,12/7/2018,Infused (edible),Each,52638.22,1615,52638.22,0,0,1615,3/22/2024
102,12/7/2018,Concentrate,Grams,18722.3,0,0,139.2,18722.3,139.2,3/22/2024
102,12/7/2018,Kief,Grams,75,0,0,15.9,75,15.9,3/22/2024
102,12/7/2018,Infused (non-edible),Each,1868.87,57,1868.87,0,0,57,3/22/2024
102,12/7/2018,Concentrate,Each,12080.59,202,12080.59,0,0,202,3/22/2024
102,12/7/2018,Buds,Each,21795.71,2597,21795.71,0,0,2597,3/22/2024
102,12/7/2018,Kief,Each,2624.35,106,2624.35,0,0,106,3/22/2024
111,12/8/2018,Concentrate (Each),Each,118974.38,2488,118974.38,0,0,2488,3/22/2024
111,12/8/2018,Buds,Grams,154432.54,0,0,11241.61,154432.54,11241.61,3/22/2024
111,12/8/2018,Infused (edible),Each,60710.19,2108,60710.19,0,0,2108,3/22/2024
111,12/8/2018,Kief,Each,25,1,25,0,0,1,3/22/2024
111,12/8/2018,Infused (non-edible),Each,1430.01,42,1430.01,0,0,42,3/22/2024
111,12/8/2018,Buds,Each,24843.25,2762,24843.25,0,0,2762,3/22/2024
111,12/8/2018,Concentrate,Grams,17927.89,0,0,144.7,17927.89,144.7,3/22/2024
111,12/8/2018,Concentrate,Each,4192.68,70,4192.68,0,0,70,3/22/2024
119,12/9/2018,Concentrate (Each),Each,94115.53,1937,94115.53,0,0,1937,3/22/2024
119,12/9/2018,Kief,Each,75,3,75,0,0,3,3/22/2024
119,12/9/2018,Buds,Grams,131569.21,0,0,9488.66,131569.21,9488.66,3/22/2024
119,12/9/2018,Buds,Each,16879.58,2089,16879.58,0,0,2089,3/22/2024
119,12/9/2018,Infused (edible),Each,48214.42,1821,48214.42,0,0,1821,3/22/2024
119,12/9/2018,Concentrate,Grams,19269.68,0,0,158,19269.68,158,3/22/2024
119,12/9/2018,Infused (non-edible),Each,1735,47,1735,0,0,47,3/22/2024
126,12/10/2018,Concentrate (Each),Each,81454.14,1686,81454.14,0,0,1686,3/22/2024
126,12/10/2018,Infused (edible),Each,39390.24,1418,39390.24,0,0,1418,3/22/2024
126,12/10/2018,Concentrate,Each,60,1,60,0,0,1,3/22/2024
126,12/10/2018,Buds,Grams,111699.31,0,0,8082.18,111699.31,8082.18,3/22/2024
126,12/10/2018,Buds,Each,15423.04,1942,15423.04,0,0,1942,3/22/2024
126,12/10/2018,Concentrate,Grams,17989.1,0,0,147.5,17989.1,147.5,3/22/2024
126,12/10/2018,Infused (non-edible),Each,1410,42,1410,0,0,42,3/22/2024
133,12/11/2018,Buds,Each,12256.2,1541,12256.2,0,0,1541,3/22/2024
133,12/11/2018,Infused (edible),Each,45620.05,1615,45620.05,0,0,1615,3/22/2024
133,12/11/2018,Concentrate (Each),Each,81744.42,1676,81744.42,0,0,1676,3/22/2024
133,12/11/2018,Buds,Grams,121459.5,0,0,8748.15,121459.5,8748.15,3/22/2024
133,12/11/2018,Concentrate,Grams,25916.5,0,0,212.5,25916.5,212.5,3/22/2024
133,12/11/2018,Infused (non-edible),Each,1968,54,1968,0,0,54,3/22/2024
139,12/12/2018,Buds,Grams,108230.51,0,0,7588.89,108230.51,7588.89,3/22/2024
139,12/12/2018,Concentrate,Grams,23371.39,0,0,192,23371.39,192,3/22/2024
139,12/12/2018,Infused (edible),Each,44304.56,1264,44304.56,0,0,1264,3/22/2024
139,12/12/2018,Buds,Each,9905.5,1242,9905.5,0,0,1242,3/22/2024
139,12/12/2018,Infused (non-edible),Each,2800,75,2800,0,0,75,3/22/2024
139,12/12/2018,Concentrate (Each),Each,97675.47,1897,97675.47,0,0,1897,3/22/2024
145,12/13/2018,Infused (non-edible),Each,2329.09,61,2329.09,0,0,61,3/22/2024
145,12/13/2018,Infused (edible),Each,52491.45,1667,52491.45,0,0,1667,3/22/2024
145,12/13/2018,Concentrate,Grams,21403.16,0,0,176,21403.16,176,3/22/2024
145,12/13/2018,Buds,Grams,112135.76,0,0,7908.19,112135.76,7908.19,3/22/2024
145,12/13/2018,Buds,Each,20381.7,2556,20381.7,0,0,2556,3/22/2024
145,12/13/2018,Concentrate (Each),Each,91130.4,1738,91130.4,0,0,1738,3/22/2024
145,12/13/2018,Kief,Each,2174.48,87,2174.48,0,0,87,3/22/2024
152,12/14/2018,Buds,Grams,130561.89,0,0,9467.21,130561.89,9467.21,3/22/2024
152,12/14/2018,Concentrate,Each,310.89,5,310.89,0,0,5,3/22/2024
152,12/14/2018,Concentrate,Grams,27215.97,0,0,223.5,27215.97,223.5,3/22/2024
152,12/14/2018,Concentrate (Each),Each,116462.48,2296,116462.48,0,0,2296,3/22/2024
152,12/14/2018,Infused (edible),Each,59653.73,2210,59653.73,0,0,2210,3/22/2024
152,12/14/2018,Kief,Each,2955.75,120,2955.75,0,0,120,3/22/2024
152,12/14/2018,Infused (non-edible),Each,2618.15,56,2618.15,0,0,56,3/22/2024
152,12/14/2018,Buds,Each,12176.24,1514,12176.24,0,0,1514,3/22/2024
160,12/15/2018,Infused (edible),Each,65337.24,2910,65337.24,0,0,2910,3/22/2024
160,12/15/2018,Buds,Grams,148148.77,0,0,10475.26,148148.77,10475.26,3/22/2024
160,12/15/2018,Concentrate (Each),Each,117649.77,2397,117649.77,0,0,2397,3/22/2024
160,12/15/2018,Buds,Each,7467.65,944,7467.65,0,0,944,3/22/2024
160,12/15/2018,Kief,Each,425.16,18,425.16,0,0,18,3/22/2024
160,12/15/2018,Shake/Trim (by strain),Grams,5430,0,0,364,5430,364,3/22/2024
160,12/15/2018,Concentrate,Grams,24209.06,0,0,199,24209.06,199,3/22/2024
160,12/15/2018,Infused (non-edible),Each,39694.79,667,39694.79,0,0,667,3/22/2024
168,12/16/2018,Buds,Grams,134532.8,0,0,9687.07,134532.8,9687.07,3/22/2024
168,12/16/2018,Concentrate,Grams,26465.32,0,0,217,26465.32,217,3/22/2024
168,12/16/2018,Buds,Each,11150.39,1406,11150.39,0,0,1406,3/22/2024
168,12/16/2018,Infused (non-edible),Each,37140.59,631,37140.59,0,0,631,3/22/2024
168,12/16/2018,Infused (edible),Each,41459.98,1638,41459.98,0,0,1638,3/22/2024
168,12/16/2018,Concentrate (Each),Each,108276.64,2200,108276.64,0,0,2200,3/22/2024
168,12/16/2018,Shake/Trim (by strain),Grams,3340,0,0,224,3340,224,3/22/2024
175,12/17/2018,Concentrate,Grams,4695.46,0,0,38.5,4695.46,38.5,3/22/2024
175,12/17/2018,Infused (edible),Each,31113.22,1073,31113.22,0,0,1073,3/22/2024
175,12/17/2018,Buds,Each,310.25,34,310.25,0,0,34,3/22/2024
175,12/17/2018,Concentrate (Each),Each,117479.98,2388,117479.98,0,0,2388,3/22/2024
175,12/17/2018,Infused (non-edible),Each,31076,517,31076,0,0,517,3/22/2024
175,12/17/2018,Buds,Grams,148299.79,0,0,10595.07,148299.79,10595.07,3/22/2024
175,12/17/2018,Shake/Trim (by strain),Grams,3297,0,0,221,3297,221,3/22/2024
182,12/18/2018,Buds,Each,8888.94,588,8888.94,0,0,588,3/22/2024
182,12/18/2018,Shake/Trim (by strain),Grams,2956,0,0,201,2956,201,3/22/2024
182,12/18/2018,Infused (edible),Each,24586.86,925,24586.86,0,0,925,3/22/2024
182,12/18/2018,Concentrate (Each),Each,118554.55,2476,118554.55,0,0,2476,3/22/2024
182,12/18/2018,Buds,Grams,146063.25,0,0,10355.91,146063.25,10355.91,3/22/2024
182,12/18/2018,Infused (non-edible),Each,32631.95,522,32631.95,0,0,522,3/22/2024
188,12/19/2018,Infused (non-edible),Each,31195,512,31195,0,0,512,3/22/2024
188,12/19/2018,Buds,Each,4799,585,4799,0,0,585,3/22/2024
188,12/19/2018,Infused (edible),Each,19963.49,474,19963.49,0,0,474,3/22/2024
188,12/19/2018,Buds,Grams,156222.74,0,0,11128.06,156222.74,11128.06,3/22/2024
188,12/19/2018,Shake/Trim (by strain),Grams,1350,0,0,90,1350,90,3/22/2024
188,12/19/2018,Concentrate (Each),Each,141604.38,2950,141604.38,0,0,2950,3/22/2024
194,12/20/2018,Buds,Each,29123.35,2446,29123.35,0,0,2446,3/22/2024
194,12/20/2018,Infused (non-edible),Each,33564.92,482,33564.92,0,0,482,3/22/2024
194,12/20/2018,Concentrate,Each,10196.42,173,10196.42,0,0,173,3/22/2024
194,12/20/2018,Buds,Grams,164471.92,0,0,11749.45,164471.92,11749.45,3/22/2024
194,12/20/2018,Shake/Trim (by strain),Grams,9,0,0,1,9,1,3/22/2024
194,12/20/2018,Infused (edible),Each,21106.68,610,21106.68,0,0,610,3/22/2024
194,12/20/2018,Concentrate (Each),Each,129448.06,2654,129448.06,0,0,2654,3/22/2024
201,12/21/2018,Buds,Each,25477.84,2133,25477.84,0,0,2133,3/22/2024
201,12/21/2018,Concentrate (Each),Each,152533.45,3183,152533.45,0,0,3183,3/22/2024
201,12/21/2018,Buds,Grams,153494.12,0,0,10541.8,153494.12,10541.8,3/22/2024
201,12/21/2018,Infused (non-edible),Each,28620,403,28620,0,0,403,3/22/2024
201,12/21/2018,Concentrate,Grams,3112.08,0,0,249.1,3112.08,249.1,3/22/2024
201,12/21/2018,Kief,Grams,886,0,0,169.6,886,169.6,3/22/2024
201,12/21/2018,Concentrate,Each,10224.01,172,10224.01,0,0,172,3/22/2024
201,12/21/2018,Shake/Trim (by strain),Grams,5477.56,0,0,370,5477.56,370,3/22/2024
201,12/21/2018,Infused (edible),Each,40496.16,1534,40496.16,0,0,1534,3/22/2024
210,12/22/2018,Concentrate (Each),Each,188999.15,3811,188999.15,0,0,3811,3/22/2024
210,12/22/2018,Shake/Trim (by strain),Grams,8900.94,0,0,557,8900.94,557,3/22/2024
210,12/22/2018,Infused (non-edible),Each,30842,394,30842,0,0,394,3/22/2024
210,12/22/2018,Concentrate,Each,12247.22,207,12247.22,0,0,207,3/22/2024
210,12/22/2018,Kief,Grams,1363.82,0,0,46,1363.82,46,3/22/2024
210,12/22/2018,Buds,Each,32204.28,2707,32204.28,0,0,2707,3/22/2024
210,12/22/2018,Buds,Grams,196398.43,0,0,12137.16,196398.43,12137.16,3/22/2024
210,12/22/2018,Concentrate,Grams,3452.69,0,0,49,3452.69,49,3/22/2024
210,12/22/2018,Infused (edible),Each,65431.03,2913,65431.03,0,0,2913,3/22/2024
219,12/23/2018,Infused (non-edible),Each,19950,283,19950,0,0,283,3/22/2024
219,12/23/2018,Kief,Grams,570,0,0,19,570,19,3/22/2024
219,12/23/2018,Buds,Each,7057.11,589,7057.11,0,0,589,3/22/2024
219,12/23/2018,Buds,Grams,177566.94,0,0,12372.19,177566.94,12372.19,3/22/2024
219,12/23/2018,Infused (edible),Each,56612.88,2447,56612.88,0,0,2447,3/22/2024
219,12/23/2018,Concentrate,Each,360,6,360,0,0,6,3/22/2024
219,12/23/2018,Concentrate,Grams,2001.6,0,0,28,2001.6,28,3/22/2024
219,12/23/2018,Concentrate (Each),Each,167639.02,3363,167639.02,0,0,3363,3/22/2024
219,12/23/2018,Shake/Trim (by strain),Grams,8332.26,0,0,528,8332.26,528,3/22/2024
228,12/24/2018,Concentrate,Each,60,1,60,0,0,1,3/22/2024
228,12/24/2018,Buds,Each,90.43,9,90.43,0,0,9,3/22/2024
228,12/24/2018,Concentrate (Each),Each,117111.93,2375,117111.93,0,0,2375,3/22/2024
228,12/24/2018,Infused (non-edible),Each,11207,206,11207,0,0,206,3/22/2024
228,12/24/2018,Buds,Grams,112159.1,0,0,8016.83,112159.1,8016.83,3/22/2024
228,12/24/2018,Shake/Trim (by strain),Grams,1350,0,0,92,1350,92,3/22/2024
228,12/24/2018,Infused (edible),Each,27155.23,1242,27155.23,0,0,1242,3/22/2024
235,12/26/2018,Buds,Each,15732,1311,15732,0,0,1311,3/22/2024
235,12/26/2018,Infused (non-edible),Each,16715,309,16715,0,0,309,3/22/2024
235,12/26/2018,Kief,Grams,960,0,0,32,960,32,3/22/2024
235,12/26/2018,Shake/Trim (by strain),Grams,8809.1,0,0,552.25,8809.1,552.25,3/22/2024
235,12/26/2018,Infused (edible),Each,35737.41,1507,35737.41,0,0,1507,3/22/2024
235,12/26/2018,Buds,Grams,220058.54,0,0,15164.95,220058.54,15164.95,3/22/2024
235,12/26/2018,Concentrate (Each),Each,210897.31,3873,210897.31,0,0,3873,3/22/2024
235,12/26/2018,Concentrate,Grams,6257.71,0,0,74,6257.71,74,3/22/2024
235,12/26/2018,Concentrate,Each,180,3,180,0,0,3,3/22/2024
244,12/27/2018,Concentrate,Each,480,8,480,0,0,8,3/22/2024
244,12/27/2018,Infused (edible),Each,45623.73,2064,45623.73,0,0,2064,3/22/2024
244,12/27/2018,Concentrate,Grams,2664,0,0,37,2664,37,3/22/2024
244,12/27/2018,Buds,Each,6899.8,576,6899.8,0,0,576,3/22/2024
244,12/27/2018,Concentrate (Each),Each,221235.85,4003,221235.85,0,0,4003,3/22/2024
244,12/27/2018,Buds,Grams,232209.71,0,0,15885.5,232209.71,15885.5,3/22/2024
244,12/27/2018,Infused (non-edible),Each,24456.4,405,24456.4,0,0,405,3/22/2024
244,12/27/2018,Kief,Grams,930,0,0,31,930,31,3/22/2024
244,12/27/2018,Shake/Trim (by strain),Grams,7734.84,0,0,491.25,7734.84,491.25,3/22/2024
253,12/28/2018,Shake/Trim (by strain),Grams,10141.8,0,0,632.25,10141.8,632.25,3/22/2024
253,12/28/2018,Buds,Grams,225193.28,0,0,15798.84,225193.28,15798.84,3/22/2024
253,12/28/2018,Kief,Grams,1200,0,0,40,1200,40,3/22/2024
253,12/28/2018,Buds,Each,624,52,624,0,0,52,3/22/2024
253,12/28/2018,Concentrate,Each,360.01,7,360.01,0,0,7,3/22/2024
253,12/28/2018,Infused (edible),Each,45377.28,2272,45377.28,0,0,2272,3/22/2024
253,12/28/2018,Concentrate (Each),Each,224543.65,3989,224543.65,0,0,3989,3/22/2024
253,12/28/2018,Concentrate,Grams,2880,0,0,40,2880,40,3/22/2024
253,12/28/2018,Infused (non-edible),Each,19645,343,19645,0,0,343,3/22/2024
262,12/29/2018,Concentrate,Grams,4032,0,0,56,4032,56,3/22/2024
262,12/29/2018,Buds,Grams,206455.06,0,0,14332.9,206455.06,14332.9,3/22/2024
262,12/29/2018,Kief,Grams,1290,0,0,43,1290,43,3/22/2024
262,12/29/2018,Infused (edible),Each,35460.02,2006,35460.02,0,0,2006,3/22/2024
262,12/29/2018,Concentrate (Each),Each,197136.87,3490,197136.87,0,0,3490,3/22/2024
262,12/29/2018,Infused (non-edible),Each,19690,267,19690,0,0,267,3/22/2024
262,12/29/2018,Buds,Each,28555.85,2402,28555.85,0,0,2402,3/22/2024
262,12/29/2018,Shake/Trim (by strain),Grams,9393,0,0,582,9393,582,3/22/2024
270,12/30/2018,Concentrate (Each),Each,181328,3208,181328,0,0,3208,3/22/2024
270,12/30/2018,Infused (non-edible),Each,13600,220,13600,0,0,220,3/22/2024
270,12/30/2018,Shake/Trim (by strain),Grams,8317.2,0,0,520.25,8317.2,520.25,3/22/2024
270,12/30/2018,Infused (edible),Each,18441.61,944,18441.61,0,0,944,3/22/2024
270,12/30/2018,Buds,Each,20523.63,1716,20523.63,0,0,1716,3/22/2024
270,12/30/2018,Kief,Grams,630,0,0,21,630,21,3/22/2024
270,12/30/2018,Buds,Grams,202496.26,0,0,14298.78,202496.26,14298.78,3/22/2024
270,12/30/2018,Concentrate,Grams,1872,0,0,26,1872,26,3/22/2024
278,12/31/2018,Concentrate,Grams,1992,0,0,31,1992,31,3/22/2024
278,12/31/2018,Buds,Each,24532.2,2053,24532.2,0,0,2053,3/22/2024
278,12/31/2018,Kief,Grams,1080,0,0,36,1080,36,3/22/2024
278,12/31/2018,Concentrate,Each,9120.02,155,9120.02,0,0,155,3/22/2024
278,12/31/2018,Shake/Trim (by strain),Grams,6847.2,0,0,427.5,6847.2,427.5,3/22/2024
278,12/31/2018,Buds,Grams,148043.25,0,0,10186.49,148043.25,10186.49,3/22/2024
278,12/31/2018,Infused (non-edible),Each,5691,83,5691,0,0,83,3/22/2024
278,12/31/2018,Infused (edible),Each,15443.84,635,15443.84,0,0,635,3/22/2024
278,12/31/2018,Concentrate (Each),Each,137907.27,2480,137907.27,0,0,2480,3/22/2024
287,1/1/2019,Infused (edible),Each,9216.01,296,9216.01,0,0,296,3/22/2024
287,1/1/2019,Concentrate,Each,1080.01,19,1080.01,0,0,19,3/22/2024
287,1/1/2019,Concentrate (Each),Each,76780.27,1499,76780.27,0,0,1499,3/22/2024
287,1/1/2019,Buds,Grams,59262.68,0,0,4201.2,59262.68,4201.2,3/22/2024
287,1/1/2019,Buds,Each,10218.21,868,10218.21,0,0,868,3/22/2024
292,1/2/2019,Buds,Each,19555.43,1652,19555.43,0,0,1652,3/22/2024
292,1/2/2019,Concentrate,Each,4860.36,82,4860.36,0,0,82,3/22/2024
292,1/2/2019,Concentrate (Each),Each,147551.2,2809,147551.2,0,0,2809,3/22/2024
292,1/2/2019,Shake/Trim (by strain),Grams,5274.6,0,0,329.75,5274.6,329.75,3/22/2024
292,1/2/2019,Kief,Grams,360,0,0,12,360,12,3/22/2024
292,1/2/2019,Buds,Grams,159792.35,0,0,11173.32,159792.35,11173.32,3/22/2024
292,1/2/2019,Infused (non-edible),Each,8640,125,8640,0,0,125,3/22/2024
292,1/2/2019,Concentrate,Grams,2532,0,0,33,2532,33,3/22/2024
292,1/2/2019,Infused (edible),Each,30727.37,1236,30727.37,0,0,1236,3/22/2024
301,1/3/2019,Buds,Each,6239.69,526,6239.69,0,0,526,3/22/2024
301,1/3/2019,Concentrate,Grams,2826,0,0,37.5,2826,37.5,3/22/2024
301,1/3/2019,Infused (edible),Each,19828.13,873,19828.13,0,0,873,3/22/2024
301,1/3/2019,Concentrate (Each),Each,137233.32,2475,137233.32,0,0,2475,3/22/2024
301,1/3/2019,Infused (non-edible),Each,13615.02,208,13615.02,0,0,208,3/22/2024
301,1/3/2019,Concentrate,Each,5100.01,86,5100.01,0,0,86,3/22/2024
301,1/3/2019,Buds,Grams,169249.51,0,0,11933.69,169249.51,11933.69,3/22/2024
