id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
4025,C10-0000013-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/4/2019 0:00,4/3/2023 0:00,5/3/2023 0:00,Paula Deeter,Data Not Available,"Amy Deeter, Paula Deeter",Sole Proprietorship,Data Not Available,17875 Hwy One Hwy,Fort Bragg,CA,Mendocino,95437,Herbanlegend@live.Com,(707) 961-0113,Data Not Available,39.40355779,-123.8089373
4026,C10-0000014-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/4/2019 0:00,4/3/2024 0:00,4/4/2019 0:00,Hah Coalinga LLC,Have a Heart CC,"Adam  Levin, Jay Paul Henderon, Ryan Kunkel",Limited Liability Company,Data Not Available,286 5th St N,Coalinga,CA,Fresno,93210,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,36.14031925,-120.3612477
4027,C10-0000015-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/5/2019 0:00,4/4/2022 0:00,5/4/2022 0:00,Green Spirit Mendocino LLC,Data Not Available,"Christian Briggs, Harlan Ribnik, Leslie Ball, Tom Gingerich",Limited Liability Company,Data Not Available,138 Main St,Point Arena,CA,Mendocino,95468,Tom@greenspiritrx.Com,(214) 808-8649,Data Not Available,38.91163994,-123.69237
4028,C10-0000016-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/9/2019 0:00,4/8/2024 0:00,4/9/2019 0:00,Mission Herbal Care Inc,THE COOKIE COMPANY,Arthur Vugelman,Corporation,Data Not Available,3139 Mission St,San Francisco,CA,San Francisco,94110,Arthurvugelman@yahoo.Com,(323) 309-9090,Data Not Available,37.74703693,-122.4187455
4029,C10-0000017-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/9/2019 0:00,4/8/2023 0:00,5/8/2023 0:00,Northeastern Management Inc,Herbal Cruz,John Hadayia,Corporation,Data Not Available,1051 41st Ave,Santa Cruz,CA,Santa Cruz,95062,Unitedoil@msn.Com,(617) 717-4453,Data Not Available,36.967183,-121.965197
4030,C10-0000018-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/11/2019 0:00,4/10/2024 0:00,4/11/2019 0:00,"Malibu Community Collective, Inc.","MALIBU COMMUNITY COLLECTIVE, INC.","DANIEL WISE, JOHN Montgomery, MICHAEL MELLANO, Richard  Schaper",Corporation,Data Not Available,22523 Pacific Coast Hwy,Malibu,CA,Los Angeles,90265,Mmmellano@gmail.Com,(760) 717-8678,Data Not Available,34.039915,-118.665568
4031,C10-0000019-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/12/2019 0:00,4/11/2024 0:00,4/12/2019 0:00,A.T.A.C.H.S. Inc.,A Therapeutic Alternative,"Andrea  Mcmanus, Kimberly Cargile, Richard Cormier",Corporation,Data Not Available,3015 H St,Sacramento,CA,Sacramento,95816,Atafrontdesk@gmail.Com,(916) 822-4717,Data Not Available,38.575439,-121.464897
4032,C10-0000020-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/15/2019 0:00,4/14/2023 0:00,5/14/2023 0:00,Sticky Grove,Wonderstump,"Melissa Caudill, Robert Derego",General Partnership,Data Not Available,"1070 Us Highway 101 N, #a",Crescent City,CA,Del Norte,95531,Medicalgenetics@rocketmail.Com,(707) 218-5238,Data Not Available,41.76702493,-124.1936772
4033,C10-0000021-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/24/2019 0:00,4/23/2025 0:00,4/24/2019 0:00,"Delta Health & Wellness, Inc.",Data Not Available,"Diem  Quinlan, Hung Nguyen, Toan Chu",Corporation,Data Not Available,2416 17th St,Sacramento,CA,Sacramento,95818,Deltahealthwellness@gmail.Com,(916) 231-9934,Data Not Available,38.56216035,-121.490625
4034,C10-0000022-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/24/2019 0:00,4/23/2025 0:00,11/6/2019 0:00,"Cali Kosher, Inc",Empire Health and Wellness - Oakdale,Darron Silva,Corporation,Data Not Available,633 Armstrong Way,Oakdale,CA,Stanislaus,95361,Jdl272@yahoo.Com,(209) 216-8966,Data Not Available,37.752879,-120.833993
4035,C10-0000023-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/24/2019 0:00,4/23/2024 0:00,4/27/2023 0:00,"Sunset Herbal Corner, Inc.",Data Not Available,Arshavir Mertkhayan,Corporation,Data Not Available,11503 Burbank Blvd,North Hollywood,CA,Los Angeles,91601,Sunsetherbalcorner@gmail.Com,(323) 459-2227,Data Not Available,34.17247261,-118.3824158
4036,C10-0000024-LIC,Surrendered,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/25/2019 0:00,4/24/2021 0:00,1/6/2022 0:00,"Desert Pot Springs Collective, Inc.","Desert Pot Springs Collective, Inc.","ERICKA STEIN, TOLABUS STEIN",Corporation,Data Not Available,66292 Pierson Blvd W,Desert Hot Springs,CA,Riverside,92240,Tolabus@gmail.Com,(213) 925-3158,Data Not Available,33.961704,-116.505206
4037,C10-0000025-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/26/2019 0:00,4/25/2025 0:00,2/18/2020 0:00,"Perfect Union - Weed, LLC",Canna Trading Company,"Mansoor Zakaria, Thomas Cologna, Thomas Sheridan",Limited Liability Company,Data Not Available,241 Main St,Weed,CA,Siskiyou,96094,Licensing@mwgholdings.Com,(415) 275-1925,Data Not Available,41.424331,-122.383928
4038,C10-0000026-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/26/2019 0:00,4/25/2025 0:00,4/26/2019 0:00,Gold Flora Partners LLC,King's Crew,"Christopher Martin, Daniel Thompson, Greg Gamet, Laurie Holcomb",Limited Liability Company,Data Not Available,5630 Pacific Coast Hwy E,Long Beach,CA,Los Angeles,90814,Greg@goldflora.Com,(720) 352-2380,Data Not Available,33.774777,-118.122418
4039,C10-0000027-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/30/2019 0:00,4/29/2024 0:00,4/30/2019 0:00,Blum San Leandro,Blum San Leandro,"Eric Baum, Nick Kovacevich, Patty Chan, Robert Baca, Sabas Carillo",Corporation,Data Not Available,1915 Fairway Dr,San Leandro,CA,Alameda,94577,Businesscontact@unrivaledbrands.Com,(510) 338-4447,Data Not Available,37.703711,-122.16888
4040,C10-0000028-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/1/2019 0:00,4/30/2025 0:00,5/1/2019 0:00,"Sespe Creek Collective, Inc.",SCC,Chelsea Sutula,Corporation,Data Not Available,408 Bryant Cir,Ojai,CA,Ventura,93023,Info@sespe.Org,(855) 722-9333,Data Not Available,34.44302,-119.237835
4041,C10-0000029-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/1/2019 0:00,4/30/2023 0:00,5/30/2023 0:00,"Palm Springs Organics, LLC",Data Not Available,Julie Montante,Limited Liability Company,Data Not Available,400 E. Sunny Dunes Rd,Palm Springs,CA,Riverside,92264,Jmexotic@aol.Com,(760) 250-6477,Data Not Available,33.812513,-116.543677
4042,C10-0000030-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/1/2019 0:00,4/30/2024 0:00,5/4/2021 0:00,"Dbo Investments Ph, LLC",From The Earth,"Dan Zaharoni, Kintu Patel",Limited Liability Company,Data Not Available,2675 N Ventura Rd,Port Hueneme,CA,Ventura,93041,D@fteusa.Com,(805) 414-1394,Data Not Available,34.178193,-119.196402
4043,C10-0000031-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/3/2019 0:00,5/2/2024 0:00,5/3/2019 0:00,Eccwh LLC,Elevate,"Anna Kay, Armen Tovmasyan, Haroutyun Vardanyan, Kevin  Krivitsky",Limited Liability Company,Data Not Available,20010 Ventura Blvd,Woodland HLS,CA,Los Angeles,91364,Humboldtrelief@yahoo.Com,(310) 503-3532,Data Not Available,34.171557,-118.568668
4044,C10-0000032-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/6/2019 0:00,The Healing Center Needles,THE HEALING CENTER NEEDLES,"Amar Salim, Sarmad Hawayi",Corporation,Data Not Available,1400 Needles Hwy,Needles,CA,San Bernardino,92363,Georgesadlerlicense@gmail.Com,(760) 447-2663,Data Not Available,34.84895,-114.610886
4045,C10-0000033-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/6/2019 0:00,"Berkeley Patients Group, Inc.",BPG,"Etienne  Fontan, Timothy Schick",Corporation,Data Not Available,2366 San Pablo Ave,Berkeley,CA,Alameda,94702,Compliance@mybpg.Com,(510) 540-6013,Data Not Available,37.863312,-122.290679
4046,C10-0000034-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/21/2020 0:00,Emerald Perspective Cooperative Inc,Emerald Perspective,Richard Whippo,Corporation,Data Not Available,100 Pleasant Valley Rd W,Port Hueneme,CA,Ventura,93041,Emeraldperspective@gmail.Com,(805) 350-9874,Data Not Available,34.154715,-119.200269
4047,C10-0000035-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/6/2020 0:00,"Vrc Lmt, Inc",Vapor Room,"Martin Olive, Patrick Hall, TINA GORDON",Corporation,Data Not Available,79 9th St,San Francisco,CA,San Francisco,94103,Martin@vaporroom.Com,(415) 626-2100,Data Not Available,37.77651641,-122.4150788
4048,C10-0000036-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/6/2019 0:00,Sundial Collective,Sundial Collective,Ashley   Papazian,Limited Liability Company,Data Not Available,827 Twin View Blvd,Redding,CA,Shasta,96003,RreLLC@enlighten.LLC,(530) 953-0277,Data Not Available,40.619019,-122.371144
4049,C10-0000037-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/2019 0:00,5/5/2024 0:00,5/6/2019 0:00,"Studio City Caregivers, Inc.","Markt., 10DollarBuds","Beckie  Zihan Yue, Leonard  Wang, MIng Fong, Tony Fong",Corporation,Data Not Available,3625 Cahuenga Blvd W,Los Angeles,CA,Los Angeles,90068,Universalcollective@yahoo.Com,(323) 850-1847,Data Not Available,34.134428,-118.36017
4050,C10-0000038-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/7/2019 0:00,5/6/2024 0:00,5/7/2021 0:00,Lake Elsinore Community Investment Corp,Mr Nice Guy Marijuana Cannabis Dispensary Lake Elsinore,"Joseph Martin, Patrick Martin",Corporation,Data Not Available,311 Minthorn St W,Lake Elsinore,CA,Riverside,92530,Mngstatelicensing@gmail.Com,(949) 293-2370,Data Not Available,33.678963,-117.327407
4051,C10-0000039-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/7/2019 0:00,5/6/2024 0:00,5/9/2022 0:00,"Valley Pure Santa Cruz, LLC",Valley Pure,Bruce Kopitar,Limited Liability Company,Data Not Available,Data Not Available,Ben Lomond,CA,Santa Cruz,95005,Bruce@greensmartfarmer.Com,(559) 786-8882,Data Not Available,,
4052,C10-0000040-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/7/2019 0:00,5/6/2024 0:00,5/7/2019 0:00,The Black Card LLC,HIGH TIMES,"Marshall Crosby, Ryan Kunkel",Limited Liability Company,Data Not Available,7817 Oakport St,Oakland,CA,Alameda,94621,Lavelllawson@gmail.Com,(510) 240-2832,Data Not Available,37.74307,-122.1998783
4053,C10-0000041-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/8/2019 0:00,5/7/2024 0:00,5/11/2022 0:00,San Fernando Valley Patients Cooperative,INSTAJANE,"Neranjika De Silva, Ramon Lamela",Corporation,Data Not Available,12527 San Fernando Rd N,Sylmar,CA,Los Angeles,91342,Admin@sfvog.Org,(818) 280-6868,Data Not Available,34.297672,-118.457873
4054,C10-0000042-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/8/2019 0:00,5/7/2024 0:00,5/11/2021 0:00,Wonderland Oasis Inc.,Sugarbudz,"DILDORA DIAZ ZAYNIYEVA, Felix Tsipris",Corporation,Data Not Available,9830 San Fernando Rd,Pacoima,CA,Los Angeles,91331,Wonderlandoasis9830@gmail.Com,(818) 216-8217,Data Not Available,34.249443,-118.403071
4055,C10-0000043-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/9/2019 0:00,5/8/2024 0:00,2/2/2021 0:00,Jessie Street Collective LLC,Bloom Room,"Daniel Bornstein, Dimitry Shkolnikov",Limited Liability Company,Data Not Available,471 Jessie St,San Francisco,CA,San Francisco,94103,Stephen@bloomroomsf.Com,(415) 543-7666,Data Not Available,37.781936,-122.408297
17029,C10-0000044-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/10/2019 0:00,Bud And Bloom,Farmacy Santa Ana,"Graham Farrar, Kyle Kazan",Corporation,Data Not Available,1327 St. Gertrude Pl E,Santa Ana,CA,Orange,92705,Jocelyn@bfpminc.Com,(714) 576-2150,Data Not Available,33.719803,-117.852721
4056,C10-0000045-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/11/2020 0:00,Palm Desert Hwy 111 E Retail LLC,West Coast Cannabis Club,"Joshua  Disalle, Kenneth  Churchill, Michael Berk, Scott  Berk, Seth Berk, Thomas Lopez",Limited Liability Company,Data Not Available,74425 Highway 111,Palm Desert,CA,Riverside,92260,Tom@westcoastcannabis.Club,(805) 603-0503,Data Not Available,33.72120013,-116.36867
4057,C10-0000046-LIC,Active,Annual,Commercial -  Retailer,Adult-Use,5/10/2019 0:00,5/9/2024 0:00,1/24/2020 0:00,"Really High Sierra, Inc.",High Sierra June Lake,John DeCoster,Corporation,Data Not Available,2555 Highway 158,June Lake,CA,Mono,93529,Highsierrajunelake@gmail.Com,(760) 914-4420,Data Not Available,37.78099511,-119.0743624
4058,C10-0000047-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/10/2019 0:00,Agmd Logistics LLC,Ojai Greens,"Debbie Young, Jeff Millott",Limited Liability Company,Data Not Available,410 Bryant Cir,Ojai,CA,Ventura,93023,Jeff@ojaigreens.Com,(805) 861-6946,Data Not Available,34.44687653,-119.2549744
4059,C10-0000048-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/10/2019 0:00,Melrose Herbal Collective LLC,LA CANNABIS CO EST 2007,"ARMEN  PARONYAN, ROBERT FEDOR",Corporation,Data Not Available,1603 La Brea Ave S,Los Angeles,CA,Los Angeles,90019,Robertfedor@att.Com,(805) 886-5613,Data Not Available,34.045259,-118.345924
4060,C10-0000049-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/10/2019 0:00,"Organic Green Treatment Center, LLC",LA CANNABIS CO EST 2007,"ARMEN PARONYAN, ARUTYUN YEGOYAN, GARNIK PARONYAN",Limited Liability Company,Data Not Available,3791 S 2nd Ave,Los Angeles,CA,Los Angeles,90018,Armenvn@yahoo.Com,(323) 778-8540,Data Not Available,34.01882338,-118.3190867
4061,C10-0000050-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/2019 0:00,5/9/2024 0:00,5/10/2019 0:00,"Phc Facilities, Inc.",Project Cannabis DTLA,"Alison Worthington, Bryan  Olson, David Hart, David Sirolly, Derek Watson, Edvin Mailyan, Frank Savage, Guy Hussussian, James Kennedy, Jeffrey Clarke, Jesse Channon, Jonathan  May, Michael  Abbott, Nicholas Vita, Rosemary Mazenet, Saro Mailyan",Corporation,Data Not Available,1425 Long Beach Ave,Los Angeles,CA,Los Angeles,90021,Purpleheartdowntown@gmail.Com,(213) 493-4500,Data Not Available,34.025683,-118.241689
4062,C10-0000051-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/13/2019 0:00,5/12/2023 0:00,6/11/2023 0:00,Bang Mingo LLC,Bang Mingo LLC,"Benjamin Harris, Mark Yandow, Tania Wright-Yandow",Limited Liability Company,Data Not Available,301 H St,Isleton,CA,Yolo,95641,Bangmingo@gmail.Com,(209) 205-8249,Data Not Available,38.54393377,-121.7382066
4063,C10-0000052-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/14/2019 0:00,5/13/2024 0:00,5/22/2020 0:00,"San Diego Natural, Inc.",Socal Cannabis Depot,"Darren Machulsky, Dylan Lair, Lincoln Fish, Loraine-Dale Hall, Samuel Birch",Corporation,Data Not Available,8530 Nelson Way,Escondido,CA,San Diego,92026,Dmachulsky@yahoo.Com,(609) 462-4234,Data Not Available,33.275499,-117.147255
4064,C10-0000053-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/14/2019 0:00,5/13/2024 0:00,11/6/2019 0:00,"Bcok, Inc.",Stiiizy,"Brian Mitchell, James  Kim, Jonathan Avidor, Raquel  Origel, Takayuki Sato",Corporation,Data Not Available,3326 Mission St,San Francisco,CA,San Francisco,94110,Retail.Mission@stiizy.Com,(415) 787-6006,Data Not Available,37.743591,-122.421543
4065,C10-0000054-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/14/2019 0:00,5/13/2024 0:00,5/14/2019 0:00,"Onesra Enterprises, Inc.","Euphoric Caregivers, Prop- 215",Arsen Ordoukhanian,Corporation,Data Not Available,10655 Pico Blvd W,Los Angeles,CA,Los Angeles,90064,Oarsen@ymail.Com,(310) 500-9858,Data Not Available,34.04277155,-118.4238064
4066,C10-0000055-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/15/2019 0:00,5/14/2022 0:00,6/13/2022 0:00,Rajwinder Bal,Data Not Available,Rajwinder Bal,Sole Proprietorship,Data Not Available,2039 Yosemite Blvd,Modesto,CA,Stanislaus,95354,C.Doctors@yahoo.Com,(209) 527-0790,Data Not Available,37.63867758,-120.9602583
4067,C10-0000056-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/15/2019 0:00,5/14/2024 0:00,5/15/2019 0:00,"The Green Goddess, Inc.",Green Goddess Collective,"Alexander Levine, Andrew Levine, Andrew Schweibold, Austin DeAngelis, Cory Azzalino, Daniel Stein, Francis  Handley III, Jim  Clark, John Huffman, Katsujin David Chao, Lisa Leder, Rogelio Choy, Thomas  Jermoluk",Corporation,Data Not Available,1716 Main St,Venice,CA,Los Angeles,90291,Daniel@greengoddesscollective.Com,(310) 396-7770,Data Not Available,33.98753478,-118.4704715
4068,C10-0000057-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/15/2019 0:00,5/14/2024 0:00,5/15/2019 0:00,"Jet Room, Inc.",Data Not Available,"Lisa Guerra, Manuel Serrano",Corporation,Data Not Available,17499 Adelanto Rd,Adelanto,CA,San Bernardino,92301,Marcella@jetroom.Com,(909) 531-3793,Data Not Available,34.56834009,-117.40067
4069,C10-0000058-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2024 0:00,5/16/2019 0:00,Central Valley - Sierra Associates,The Higher Conscious,Sadie Schut,Corporation,Data Not Available,100 Las Palmas Ave W,Patterson,CA,Stanislaus,95363,Eklopping@gmail.Com,(209) 606-7913,Data Not Available,37.472418,-121.127729
4070,C10-0000059-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2024 0:00,5/16/2019 0:00,"Valley Pure,LLC",VALLEY PURE,Bruce Kopitar,Limited Liability Company,Data Not Available,132 Valencia Blvd N,Woodlake,CA,Tulare,93286,Bruce@greensmartfarmer.Com,(559) 786-8882,Data Not Available,36.414466,-119.09864
4071,C10-0000060-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2024 0:00,5/16/2019 0:00,"Silver Lake Caregivers Group, Inc.","SILVER LAKE CAREGVERS GROUP, INC.",TOLABUS STEIN,Corporation,Data Not Available,2470 Fletcher Dr N,Los Angeles,CA,Los Angeles,90039,Tobalus@gmail.Com,(213) 925-3158,Data Not Available,34.1072783,-118.2550517
4072,C10-0000061-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2024 0:00,5/21/2020 0:00,"North Hollywood Compassionate Caregivers, Inc.",Data Not Available,"Anna Proshak, Anzhela Proshak",Corporation,Data Not Available,8085 Webb Ave,N Hollywood,CA,Los Angeles,91605,Angie91356@gmail.Com,(818) 399-9715,Data Not Available,34.21766989,-118.3898432
4073,C10-0000062-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2024 0:00,5/16/2019 0:00,"Coastal Dispensary, LLC","Coastal Dispensary, LLC","Greg Gamet, Judith  Schvimmer, Laurie Holcomb, Marshall Minor",Limited Liability Company,Data Not Available,1019 Chapala St,Santa Barbara,CA,Santa Barbara,93101,Info@coastaldispensary.Com,(805) 380-7730,Data Not Available,34.42073,-119.70396
4074,C10-0000063-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/2019 0:00,5/15/2020 0:00,1/21/2021 0:00,"Capital Growth Investments, Inc.",Pineapple Express,"Austin Todd, Jaime Ortega",Corporation,Data Not Available,695 S Williams Rd,Palm Springs,CA,Riverside,92264,Info@pineappleventuresinc.Com,(866) 591-7802,Data Not Available,33.81244359,-116.4954791
