NAME,ADDRESS,TYPE,TOWN,ZIP_CODE,PHONE_NUMBER,GEOCODE
downtown FLWR (https://downtownflwr.com/),141 NEWARK AVENUE (https://goo.gl/maps/swtRoWty4aPCLnaf7),Medicinal and Recreational,JERSEY CITY,7302,(202) 351-4048,POINT (-74.044011009 40.720199002)
Garden State Botanicals (https://dutchie.com/stores/garden-state-botanicals),1345 US-1 (https://goo.gl/maps/zzkp96HJybEbCaQXA),Medicinal and Recreational,NORTH BRUNSWICK,8902,(201) 574-8060,POINT (-74.473932988 40.458371984)
Eastern Green (https://easterngreendispensary.com/),78 ROUTE 73 (https://goo.gl/maps/Upppg2QSRdQ4688z9),Medicinal and Recreational,VOORHEES,8043,(856) 205-3257,POINT (-74.927727969 39.82257898)
Ayr Wellness (https://gardenstatedispensary.com/locations/eatontown/),59 MAIN ST (https://goo.gl/maps/uR4v7EmkYaJcCJyP7),Medicinal and Recreational,EATONTOWN,7724,(848) 999-2005,POINT (-74.060837009 40.306158005)
Ayr Wellness (https://gardenstatedispensary.com/locations/union/),2536 RT 22 (https://goo.gl/maps/Yy4fqkkbtqaQoE637),Medicinal and Recreational,UNION,7083,(848) 999-2005,POINT (-74.301235021 40.688860994)
Ayr Wellness (https://gardenstatedispensary.com/locations/woodbridge/),950 US HIGHWAY 1 NORTH (https://goo.gl/maps/LYc8TzUhRKE1nKaN7),Medicinal and Recreational,WOODBRIDGE,7095,(848) 999-2005,POINT (-74.294910037 40.567942988)
"Cannabist, The (https://gocannabist.com/location/deptford/)",1692 CLEMENTS BRIDGE RD (https://goo.gl/maps/opQs3B3hXxAUmd6h6),Medicinal and Recreational,DEPTFORD,8096,(856) 322-2829,POINT (-75.102324018 39.83356799)
Monteverde NJ (https://monteverdenj.com/),45 N BRIDGE AVENUE (https://maps.app.goo.gl/Qdq7m9JrdN57WT9N9),Medicinal cannabis only,RED BANK,7701,(732) 704-4595,POINT (-74.075246003 40.352612985)
MPX NJ (https://mpxnj.com/),5035 CENTRAL HWY (https://mpxnj.com/),Medicinal and Recreational,PENNSAUKEN,8109,(848) 206-5060,POINT (-75.072371035 39.92994701)
MPX NJ (https://mpxnj.com/gloucester-township/),581 BERLIN-CROSS KEYS ROAD (https://goo.gl/maps/uN29ksHqMpRNnfDu9),Medicinal and Recreational,SICKLERVILLE,8081,(848) 292-2764,POINT (-75.001665731 39.73838802)
Holistic Solutions LLC (https://myholisticsolutions.com/),451 WHITE HORSE PIKE (https://goo.gl/maps/wUZtj7yZzn3jG5Dd9),Medicinal and Recreational,ATCO,8004,(856) 270-7067,POINT (-74.890881961 39.764358993)
NJ Leaf (https://njleaf.com/),546 PARK AVENUE (https://goo.gl/maps/wK8uvpLDt2x6uWW9A),Medicinal and Recreational,FREEHOLD,7728,(732) 204-7172,POINT (-74.271887967 40.249621021)
"Restore NJ, LLC (https://restoredispensaries.com/locations/glassboro/)",300 WILLIAM DALTON DRIVE (https://goo.gl/maps/oHds4sZnAb3ZMV1s5),Medicinal cannabis only,GLASSBORO,8028,(856) 652-8001,POINT (-75.109502066 39.720223984)
RISE (https://risecannabis.com/dispensaries/new-jersey/bloomfield/),26-48 BLOOMFIELD AVE (https://goo.gl/maps/8Vr6UkY9nbJDZ99F7),Medicinal and Recreational,BLOOMFIELD,7003,(973) 327-3442,POINT (-74.187037039 40.775351003)
RISE (https://risecannabis.com/dispensaries/new-jersey/paterson/),196 3RD AVENUE #3-C (https://g.page/RISE-Paterson-Dispensaries?share),Medicinal and Recreational,PATERSON,7514,(973) 440-2717,POINT (-74.141849025 40.936161001)
Sanctuary Cannabis (https://sanctuarymed.com/scotchplains/),2581 US-22 (https://maps.app.goo.gl/j1K2mjbkPNMtVNC8A),Medicinal cannabis only,SCOTCH PLAINS,7076,(201) 326-0174,POINT (-74.38561497 40.665812018)
Terrapin Investment Fund (https://shop.thestationhoboken.com/),86 RIVER ST. (https://maps.app.goo.gl/miZiVUvgaEVkGK986),Medicinal cannabis only,HOBOKEN,7030,(201) 855-6735,POINT (-74.029261039 40.736563998)
SilverLeaf Wellness (https://silverleafnj.com/),1743 ROUTE 27 (https://goo.gl/maps/6TbZyEvkeF7GZmtY9),Medicinal cannabis only,SOMERSET,8873,(732) 655-9842,POINT (-74.504587033 40.46360598)
Sweet Spot (https://sweetspotfarms.com/store/nj001),"903 WHITE HORSE ROAD, SUITE 2 (https://goo.gl/maps/u8AZ9WKq4toSD28P7)",Medicinal and Recreational,VOORHEES,8043,(856) 882-3481,POINT (-74.98929524 39.847493958)
URB’N Dispensary (https://urbndispensary.com/home),378 SOUTH ST (https://goo.gl/maps/qbkQBkvdVdu3MDN17),Medicinal and Recreational,NEWARK,7105,(973) 200-0618,POINT (-74.161697959 40.719005)
Valley Wellness LLC (https://valleywellnessnj.com/),407 US-202 (https://goo.gl/maps/kqB9xm7WnAvxb4rj8),Medicinal and Recreational,RARITAN,8869,(908)429-6680,POINT (-74.635244458 40.57404381)
BLOC (https://www.blocdispensary.com/),1761 NORTH OLDEN AVENUE (https://goo.gl/maps/4JfUGpYfZfJ26aRB8),Medicinal and Recreational,EWING,8638,(973) 494-8499,POINT (-74.770759984 40.248055994)
BLOC (https://www.blocdispensary.com/),1075 EASTON AVE (https://goo.gl/maps/dAoK2twwZemJxHnf8),Medicinal and Recreational,SOMERSET,8873,(973) 494-8499,POINT (-74.488150037 40.516698002)
BLOC (https://www.blocdispensary.com/), (https://goo.gl/maps/qpgk6WWYjxYLyCmu7),Medicinal and Recreational,WARETOWN,8758,(973) 494-8550,POINT (-74.196918631 39.796510936)
Breakwater (https://www.breakwateratc.com/),"2 CORPORATE DRIVE, SUITE E (https://g.page/BreakwaterATC?share)",Medicinal cannabis only,CRANBURY,8512,(732) 703-7300,POINT (-74.487844014 40.333699011)
HoneyGrove (https://www.honeygrovedispensary.com/),1337 BLACKWOOD-CLEMENTON ROAD (https://goo.gl/maps/KDyxzqkpHF6vs57D9),Medicinal cannabis only,GLOUCESTER TOWNSHIP,8021,(856) 504-3138,POINT (-75.031123903 39.803883137)
"Botanist, The (https://www.shopbotanist.com/locations/atlantic-city/)",1301 BOARDWALK (https://goo.gl/maps/3YPEp2BuAfcgWeTAA),Medicinal cannabis only,ATLANTIC CITY,8401,(609) 454-6846,POINT (-74.42380401 39.357661004)
"Botanist, The (https://www.shopbotanist.com/locations/egg-harbor-township/)",100 CENTURY DRIVE (https://goo.gl/maps/Cf2mto9t8JE7wmoD8),Medicinal and Recreational,EGG HARBOR TOWNSHIP,8234,(609) 277-7547,POINT (-74.553988965 39.419496986)
"Botanist, The (https://www.shopbotanist.com/locations/williamstown/)",2090 N BLACKHORSE PIKE (https://goo.gl/maps/PW4pBEHwooxN5ivE8),Medicinal and Recreational,WILLIAMSTOWN,8094,(856) 478-3530,POINT (-75.021994037 39.719486013)
Garfield Gardens Dispensary (https://yumaway.com/locations/revergardens),517 RIVER DRIVE (https://goo.gl/maps/Nyez9RSkB7RcuTcD7),Medicinal and Recreational,GARFIELD,7026,(973) 755-5420,POINT (-74.114841024 40.875655017)
Zen Leaf (https://zenleafdispensaries.com/locations/elizabeth/),117 SPRING STREET (https://goo.gl/maps/nobBVydnqkgFHoyq5),Medicinal and Recreational,ELIZABETH,7201,(908) 676-5936,POINT (-74.205789032 40.663052989)
Zen Leaf (https://zenleafdispensaries.com/locations/lawrence/),3256 BRUNSWICK PIKE (https://goo.gl/maps/GC7chA4JbEfWnzkYA),Medicinal and Recreational,LAWRENCE TWP.,8648,(609) 212-4351,POINT (-74.687460523 40.290410036)
Zen Leaf (https://zenleafdispensaries.com/locations/neptune/),2100 ROUTE 66 (https://goo.gl/maps/3Tqvk4QdiakTDRhH9),Medicinal and Recreational,NEPTUNE,7753,(732) 860-1492,POINT (-74.040634024 40.226129983)
"Aunt Mary's Dispensary, LLC (http://www.auntmarysnj.co/)",100 REAVILLE AVE. SUITE 211 (https://goo.gl/maps/iUZk9uzrfXCv1fcdA),Medicinal and Recreational,FLEMINGTON,8822,(908) 257-0421,POINT (-74.850988963 40.499399011)
Breakwater (http://www.breakwateratc.com/),154 WEST WESTFIELD AVE (https://goo.gl/maps/5YGUrNvRPJJEfXDWA),Medicinal cannabis only,ROSELLE PARK,7204,(732)703-7300,POINT (-74.269444977 40.660620979)
RIPT (http://www.riptdispensary.com/),220 BROADWAY (https://goo.gl/maps/7ZHLJ4LyYo748U849),Medicinal and Recreational,JERSEY CITY,7306,(201) 267-0701,POINT (-74.077549015 40.738163013)
