NAME,ADDRESS,TYPE,TOWN,ZIP_CODE,PHONE_NUMBER,GEOCODE
Jersey Meds (http://jerseymeds.com/),7 Route 31 N (https://maps.app.goo.gl/K27EiJLeyKtiNCtC7),Recreational cannabis only,PENNINGTON,8534,(609) 365-3002,POINT (-74.798755354 40.328423151)
Jersey Roots (http://jerseyrootsdispensary.com/),1433 UNION VALLEY RD (https://maps.app.goo.gl/1YMXkdUFdg3b11k7A),Recreational cannabis only,WEST MILFORD,7480,(973) 506-4853,POINT (-74.373248981 41.127860994)
Legal Distribution (http://legaldistributionnj.com/),3112 ATLANTIC AVENUE (https://maps.app.goo.gl/2xqwp5KEFmQZsbwc8),Recreational cannabis only,ATLANTIC CITY,8401,(609) 604-4444,POINT (-74.449205033 39.35325602)
Ascend (http://letsascend.com/),395 BLOOMFIELD AVE (https://goo.gl/maps/db5xkfK5MgiXQJyD6),Medicinal and Recreational,MONTCLAIR,7042,(973) 337-5670,POINT (-74.215952909 40.812709321)
Ascend (http://letsascend.com/),174 ROUTE 17 NORTH (https://goo.gl/maps/E3EpiSdCLjcPwNmj8),Medicinal and Recreational,ROCHELLE PARK,7662,(973) 500-6825,POINT (-74.071173991 40.903653005)
Ascend (http://letsascend.com/),461-469 WEST STATE STREET (https://goo.gl/maps/7BPhstdT4qMtMJA56),Medicinal and Recreational,FORT LEE,7024,(973) 200-7696,POINT (-73.97250801 40.859734011)
Mass Grown (http://massgrownnj.com/),"34 MILL ST, SUITE A-B (https://maps.app.goo.gl/2Hp8JKHxhJ6b2hWp9)",Recreational cannabis only,MOUNT HOLLY,8060,609-518-9333,POINT (-74.786733964 39.992865012)
MPX NJ (http://mpxnj.com/),153 S. NEW YORK AVENUE (https://goo.gl/maps/stid54TD8dUwePpG9),Medicinal and Recreational,ATLANTIC CITY,8401,(609) 616-7770,POINT (-74.427457012 39.359126999)
Natural Apothecary (http://natural-apothecary.com/),27 WASHINGTON AVE (https://maps.app.goo.gl/L357D8BV87JEfFw37),Recreational cannabis only,BELLEVILLE,7109,(848) 260-8177,POINT (-74.154468986 40.78218699)
Flower & Flame Dispensary (http://njflowerandflame.com/),601 COLLEGE DRIVE (https://maps.app.goo.gl/Wk8wG6WMaCjXJKbHA),Recreational cannabis only,BLACKWOOD,8012,(856) 302-1235,POINT (-75.035789979 39.791839984)
Ohm Theory (http://ohmtheory.com/),213 US HIGHWAY 46 (https://maps.app.goo.gl/CoQoVSmPbExTMYua6),Recreational cannabis only,ELMWOOD PARK,7407,(201) 420-0004,POINT (-74.116923005 40.893690987)
Plantabis (http://plantabis.com/),2077 US 1 NORTH (https://maps.app.goo.gl/DQ5aaYch17eBsLiV8),Recreational cannabis only,RAHWAY,7065,(732) 481-0002,POINT (-74.259808974 40.608306001)
Roots Dispensary (http://rootsnj.com/),4402 ROUTE 130 (https://maps.app.goo.gl/vmkXJBZFCjKmDiX17),Medicinal and Recreational,WILLINGBORO,8046,609-232-2722,POINT (-74.888033036 40.055927015)
A21 Wellness (https://a21dispensary.com/),2507 US HIGHWAY 22 (https://goo.gl/maps/XmscZFq992xpZVch6),Recreational cannabis only,SCOTCH PLAINS,7076,,POINT (-74.38859197 40.664628996)
Apothecarium Dispensary (https://apothecariumnj.com/lodi/),200 NJ-17 (https://goo.gl/maps/DyDRUd2YiF2U4Rae6),Medicinal and Recreational,LODI,7644,(862) 910-2420,POINT (-74.067241035 40.882779006)
Apothecarium Dispensary (https://apothecariumnj.com/maplewood/),1865 SPRINGFIELD AVENUE (https://goo.gl/maps/AfvmhvLBwsDwatoKA),Medicinal and Recreational,MAPLEWOOD,7040,(973) 996-1420,POINT (-74.269286642 40.72072861)
Apothecarium Dispensary (https://apothecariumnj.com/phillipsburg/),55 SOUTH MAIN ST. (https://goo.gl/maps/rAD9hdJjE61SAoGe9),Medicinal and Recreational,PHILLIPSBURG,8865,(908) 777-7420,POINT (-75.201758032 40.690828981)
Brute's Roots (https://brutesroots.com/),6206 BLACK HORSE PIKE (https://maps.app.goo.gl/5KzbAPrRan4njuQb6),Medicinal and Recreational,EGG HARBOR TOWNSHIP,8234,(609) 867-6112,POINT (-74.602429995 39.430488008)
Camden Apothecary (https://camdenapothecary.com/),1205 HADDON AVENUE (https://maps.app.goo.gl/cQrpQ9Wg5WwVGuaE9),Recreational cannabis only,CAMDEN,8103,(856) 931-6310,POINT (-75.102728026 39.931881009)
"Cannabist, The (https://col-care.com/location/vineland/)",1062 NORTH DELSEA DRIVE (https://g.page/columbiacarevineland?share),Medicinal and Recreational,VINELAND,8360,(856) 213-9445,POINT (-75.042358039 39.502727985)
Cookies Harrison (https://cookies.co/stores/cookies_harrison),331 ANGELO CIFELLI DRIVE (https://goo.gl/maps/1ukVtbdVB1yVV4iC9),Recreational cannabis only,HARRISON,7029,(973) 266-5437,POINT (-74.15713586 40.740722374)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?),640 CREEK ROAD (https://goo.gl/maps/ryTQ1JVHqu9RktKf7),Medicinal and Recreational,BELLMAWR,8031,(856) 933-8700,POINT (-75.103095991 39.865061985)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-bordentown?),191 RTE 130 (https://goo.gl/maps/Vo4phr2er7X76kHq6),Medicinal and Recreational,BORDENTOWN,8505,(609) 400-2455,POINT (-74.69962998 40.148561001)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-edgewater-park?),4237 US-130 South (https://goo.gl/maps/fY2rMrDiDt29SeN5A),Medicinal and Recreational,EDGEWATER PARK,8010,(609) 232-7681,POINT (-74.912763014 40.040723958)
Dank Poet Dispensary (https://dankpoet.com/),245 E WASHINGTON AVE (https://maps.app.goo.gl/X8EqXyZZn9JeksYa9),Recreational cannabis only,WASHINGTON,7882,(908) 450-9900,POINT (-74.97037702 40.760086007)
Design 710 (https://design710.com/),112 PARK PLACE (https://goo.gl/maps/CcZbg6jayHK8EpFM8),Medicinal and Recreational,ATLANTIC CITY,8401,(609) 964-7420,POINT (-74.432816987 39.357851986)
downtown FLWR (https://downtownflwr.com/),141 NEWARK AVENUE (https://goo.gl/maps/swtRoWty4aPCLnaf7),Medicinal and Recreational,JERSEY CITY,7302,(202) 351-4048,POINT (-74.044011009 40.720199002)
Garden State Botanicals (https://dutchie.com/stores/garden-state-botanicals),1345 US-1 (https://goo.gl/maps/zzkp96HJybEbCaQXA),Medicinal and Recreational,NORTH BRUNSWICK,8902,(201) 574-8060,POINT (-74.473932988 40.458371984)
Eastern Green (https://easterngreendispensary.com/),78 ROUTE 73 (https://goo.gl/maps/Upppg2QSRdQ4688z9),Medicinal and Recreational,VOORHEES,8043,(856) 205-3257,POINT (-74.927727969 39.82257898)
Elevated Herb (https://elevated-herb.com/),1846 ROUTE 23 (https://maps.app.goo.gl/zq2MgypfaP516N4B6),Recreational cannabis only,WEST MILFORD,7480,(973) 291-6840,POINT (-74.382405036 41.014927002)
Garden Greenz (https://gardengreenz201.com/),190 NEWARK AVENUE (https://maps.app.goo.gl/7suyHFoVHj2hnou56),Recreational cannabis only,JERSEY CITY,7302,(201) 963-4500,POINT (-74.045822003 40.72166001)
Ayr Wellness (https://gardenstatedispensary.com/locations/eatontown/),59 MAIN ST (https://goo.gl/maps/uR4v7EmkYaJcCJyP7),Medicinal and Recreational,EATONTOWN,7724,(848) 999-2005,POINT (-74.060837009 40.306158005)
Ayr Wellness (https://gardenstatedispensary.com/locations/union/),2536 RT 22 (https://goo.gl/maps/Yy4fqkkbtqaQoE637),Medicinal and Recreational,UNION,7083,(848) 999-2005,POINT (-74.301235021 40.688860994)
Ayr Wellness (https://gardenstatedispensary.com/locations/woodbridge/),950 US HIGHWAY 1 NORTH (https://goo.gl/maps/LYc8TzUhRKE1nKaN7),Medicinal and Recreational,WOODBRIDGE,7095,(848) 999-2005,POINT (-74.294910037 40.567942988)
"Cannabist, The (https://gocannabist.com/location/deptford/)",1692 CLEMENTS BRIDGE RD (https://goo.gl/maps/opQs3B3hXxAUmd6h6),Medicinal and Recreational,DEPTFORD,8096,(856) 322-2829,POINT (-75.102324018 39.83356799)
Hashery (https://hasherynj.com/),409 NJ-17 (https://maps.app.goo.gl/tfufX22d88kzRow16),Recreational cannabis only,HACKENSACK,7601,(201) 606-0002,POINT (-74.065785382 40.880287148)
Voltaire NJ (http://shopvoltaire.com/),47 MILL STREET (https://maps.app.goo.gl/9cKsuiDn7EpjFmSi6),Recreational cannabis only,MOUNT HOLLY,8060,(609) 702-5520,POINT (-74.786113033 39.993477017)
Kind Kush (https://kindkushdispensary.com/),279 US-46 (https://goo.gl/maps/WpQzLjDgHfkrkGYH6),Recreational cannabis only,ROCKAWAY,7866,(973) 586-9333,POINT (-74.520462022 40.892892988)
Leaf Haus (https://leafhaus.com/),"900 EASTON AVENUE, SUITE 18 (https://goo.gl/maps/gUnKGve3miHYvUeYA)",Recreational cannabis only,SOMERSET,8873,(908) 908-9333,POINT (-74.485443018 40.510419999)
MPX NJ (https://mpxnj.com/),5035 CENTRAL HWY (https://mpxnj.com/),Medicinal and Recreational,PENNSAUKEN,8109,(848) 206-5060,POINT (-75.072371035 39.92994701)
MPX NJ (https://mpxnj.com/gloucester-township/),581 BERLIN-CROSS KEYS ROAD (https://goo.gl/maps/uN29ksHqMpRNnfDu9),Medicinal and Recreational,SICKLERVILLE,8081,(848) 292-2764,POINT (-75.001665731 39.73838802)
Holistic Solutions LLC (https://myholisticsolutions.com/),451 WHITE HORSE PIKE (https://goo.gl/maps/wUZtj7yZzn3jG5Dd9),Medicinal and Recreational,ATCO,8004,(856) 270-7067,POINT (-74.890881961 39.764358993)
New Era Dispensary (https://neweradispensary.com/),80-88 MAIN STREET (https://goo.gl/maps/pYnRDStbAn3SqeCt8),Recreational cannabis only,SOUTH BOUND BROOK,8880,(732) 709-9842,POINT (-74.524951782 40.553854268)
NJ Leaf (https://njleaf.com/),546 PARK AVENUE (https://goo.gl/maps/wK8uvpLDt2x6uWW9A),Medicinal and Recreational,FREEHOLD,7728,(732) 204-7172,POINT (-74.271887967 40.249621021)
Phasal (https://phasaldispensary.com/),1100 N BLACK HORSE PIKE (https://maps.app.goo.gl/VjtzejLxwviVn5Ts7),Recreational cannabis only,RUNNEMEDE,8078,(856) 540-9333,POINT (-75.075973996 39.85877099)
Puffin Store (https://puffinstorenj.com/),382 GEORGE STREET (https://goo.gl/maps/EzS8zd4pCL66TWfn9),Recreational cannabis only,NEW BRUNSWICK,8901,(732) 378-3346,POINT (-74.444332968 40.495818011)
Queen City Remedies (https://queencitynj.com/),1353 SOUTH AVE (https://goo.gl/maps/JcKDMqNSXVSX6cxD8),Recreational cannabis only,PLAINFIELD,7062,(908) 941-7909,POINT (-74.396089348 40.633101028)
RISE (https://risecannabis.com/dispensaries/new-jersey/bloomfield/),26-48 BLOOMFIELD AVE (https://goo.gl/maps/8Vr6UkY9nbJDZ99F7),Medicinal and Recreational,BLOOMFIELD,7003,(973) 327-3442,POINT (-74.187037039 40.775351003)
RISE (https://risecannabis.com/dispensaries/new-jersey/paterson/),196 3RD AVENUE #3-C (https://g.page/RISE-Paterson-Dispensaries?share),Medicinal and Recreational,PATERSON,7514,(973) 440-2717,POINT (-74.141849025 40.936161001)
Royal M (https://royalmcannabis.com/),102A E FRONT ST (https://maps.app.goo.gl/QVDTG6BSJAT4gpCs6),Recreational cannabis only,PLAINFIELD,7060,(908) 444-8076,POINT (-74.423804499 40.618602861)
Shore House Canna (https://shorehousecanna.com/),124 SUNSET BLVD (https://maps.app.goo.gl/4P2mKpbVhacCKMns9),Recreational cannabis only,WEST CAPE MAY,8204,(609) 600-3452,POINT (-74.932438012 38.935381979)
1634 Funk (https://strictlycbdjc.com/),394 COMMUNIPAW AVENUE (https://maps.app.goo.gl/DQqyyazHXtmkRpS2A),Recreational cannabis only,JERSEY CITY,7304,(201) 862-8877,POINT (-74.064125984 40.712913997)
Sweet Spot (https://sweetspotfarms.com/store/nj001),"903 WHITE HORSE ROAD, SUITE 2 (https://goo.gl/maps/u8AZ9WKq4toSD28P7)",Medicinal and Recreational,VOORHEES,8043,(856) 882-3481,POINT (-74.98929524 39.847493958)
"Cannabis Place, The (https://thecannabisplace.org/)",1544 JOHN F. KENNEDY BOULEVARD (https://maps.app.goo.gl/XBjfyZdSQio4VzzeA),Recreational cannabis only,JERSEY CITY,7305,(844) 420-1542,POINT (-74.099756029 40.694486006)
"Social Leaf, The (https://thesocialleaf.com/)",334 ATLANTIC CITY BOULEVARD (https://goo.gl/maps/sykzAsGmCEXdtba56),Recreational cannabis only,SOUTH TOMS RIVER,8757,(732) 358-6800,POINT (-74.194283301 39.944184238)
Union Chill (https://unionchillco.com/),"204 N UNION ST, #108 (https://goo.gl/maps/WeCqgXKu6ZA1TM2j6)",Recreational cannabis only,LAMBERTVILLE,8530,(609) 483-2350,POINT (-74.94738898 40.374054983)
URB’N Dispensary (https://urbndispensary.com/home),378 SOUTH ST (https://goo.gl/maps/qbkQBkvdVdu3MDN17),Medicinal and Recreational,NEWARK,7105,(973) 200-0618,POINT (-74.161697959 40.719005)
Valley Wellness LLC (https://valleywellnessnj.com/),407 US-202 (https://goo.gl/maps/kqB9xm7WnAvxb4rj8),Medicinal and Recreational,RARITAN,8869,(908)429-6680,POINT (-74.635244458 40.57404381)
BLOC (https://www.blocdispensary.com/), (https://goo.gl/maps/qpgk6WWYjxYLyCmu7),Medicinal and Recreational,WARETOWN,8758,(973) 494-8550,POINT (-74.196918631 39.796510936)
BLOC (https://www.blocdispensary.com/),1075 EASTON AVE (https://goo.gl/maps/dAoK2twwZemJxHnf8),Medicinal and Recreational,SOMERSET,8873,(973) 494-8499,POINT (-74.488150037 40.516698002)
BLOC (https://www.blocdispensary.com/),1761 NORTH OLDEN AVENUE (https://goo.gl/maps/4JfUGpYfZfJ26aRB8),Medicinal and Recreational,EWING,8638,(973) 494-8499,POINT (-74.770759984 40.248055994)
Cloud Nine Dispensary (https://www.c9dispensarynj.com/),513-27 ROUTE 22 (https://maps.app.goo.gl/3CRoctMu4dS6UjXy7),Recreational cannabis only,NORTH PLAINFIELD,7060,(551) 222-6031,POINT (-74.432185997 40.631040992)
Cannabis Clubhouse (https://www.cannabisclubhousenj.com/),70-72 E MAIN STREET (https://maps.app.goo.gl/AzPyjGddsSFmHKbq9),Recreational cannabis only,SUSSEX,7461,(862) 351-6021,POINT (-74.604237018 41.210107931)
Lemon 22 (https://www.chillinoutsmokeshop.com/),2006 ROUTE 22 (https://maps.app.goo.gl/Pon3NoSt1S2KfPSEA),Recreational cannabis only,SCOTCH PLAINS,7076,(908) 490-0039,POINT (-74.39964703 40.656924015)
Evolve Cannabis (https://www.evolvecannanj.com/store),186 US-130 (https://maps.app.goo.gl/VmGZVMJBFuz4QjzJA),Recreational cannabis only,BORDENTOWN,8505,(609) 400-5590,POINT (-74.699500268 40.152784113)
Fire and Oak (https://www.faomtholly.com/),5 WASHINGTON STREET (https://maps.app.goo.gl/yZQAkGdcqhP263Du8),Recreational cannabis only,MOUNT HOLLY,8060,(609) 901-0698,POINT (-74.788521991 39.993082983)
Anja (https://www.getanja.com/),225 WOODBRIDGE AVENUE (https://maps.app.goo.gl/eNsDFTWPBtB2eR5t7),Recreational cannabis only,HIGHLAND PARK,8904,(732) 995-9390,POINT (-74.411413965 40.501386989)
Hackettstown Dispensary (https://www.hackettstowndispensarynj.com/),321 MOUNTAIN AVENUE (https://maps.app.goo.gl/1FAT2PmawDLDDWGM9),Recreational cannabis only,HACKETTSTOWN,7840,(908) 651-5542,POINT (-74.823016584 40.835389192)
Indigo (https://www.indigodispensary.com/),302 CRESCENT BOULEVARD (https://maps.app.goo.gl/Qg5kuQkuEKKvao7S6),Recreational cannabis only,BROOKLAWN,8030,(609) 920-1818,POINT (-75.117580004 39.876495006)
Joy Leaf (https://www.joyleaf.com/?utm_source=gmb&utm_campaign=dispenza),711 EAST 1ST AVENUE (https://maps.app.goo.gl/p4oCwgk9ijnWRb9D6),Recreational cannabis only,ROSELLE,7203,(908) 287-5414,POINT (-74.246091989 40.662965984)
Med Leaf (https://www.medleafdispensary.com/),201 PHILADELPHIA AVENUE (https://maps.app.goo.gl/yGwsGb4HjPkxJ6h29),Recreational cannabis only,EGG HARBOR CITY,8215,(609) 616-0420,POINT (-74.646217979 39.530410017)
Molly Ann Farms (https://www.mollyannfarms.com/),256 BELMONT AVENUE (https://maps.app.goo.gl/Eh1G1vtMysn3Z4vA7),Recreational cannabis only,HALEDON,7508,(973) 315-4900,POINT (-74.183797063 40.931568337)
Phula (https://www.mthollydispensary.com/_test/),60-62 HIGH STREET (https://maps.app.goo.gl/67aFwvz3Gevbajgx8),Recreational cannabis only,MOUNT HOLLY,8060,(609) 667-7343,POINT (-74.788208005 39.994630995)
High Street Dispensary (https://www.njhighstreet.com/),811 HIGH STREET (https://maps.app.goo.gl/7YCYAjtj1oeQ6Z1Z9),Recreational cannabis only,HACKETTSTOWN,7840,(833) 865-5924,POINT (-74.827345039 40.864309986)
Organic Farms (https://www.organicfarms21.com/),"2895 MOUNT EPHRAIM AVENUE"" (https://maps.app.goo.gl/HUfCA6HiyoQJJEw47)",Recreational cannabis only,CAMDEN,8104,(856) 407-7100,POINT (-75.097386774 39.90773415)
Pure Blossom (https://www.pureblossom.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp),2554 PENNINGTON ROAD (https://maps.app.goo.gl/WwuPZdQ1FsPni9XB7),Recreational cannabis only,PENNINGTON,8534,(609) 928-3644,POINT (-74.784957 40.307174018)
"Botanist, The (https://www.shopbotanist.com/locations/egg-harbor-township/)",100 CENTURY DRIVE (https://goo.gl/maps/Cf2mto9t8JE7wmoD8),Medicinal and Recreational,EGG HARBOR TOWNSHIP,8234,(609) 277-7547,POINT (-74.553988965 39.419496986)
"Botanist, The (https://www.shopbotanist.com/locations/williamstown/)",2090 N BLACKHORSE PIKE (https://goo.gl/maps/PW4pBEHwooxN5ivE8),Medicinal and Recreational,WILLIAMSTOWN,8094,(856) 478-3530,POINT (-75.021994037 39.719486013)
Soulflora (https://www.soulflora.com/),"2713 NJ ROUTE 23, SUITE 5A (https://maps.app.goo.gl/vKTY7umH1LFdNZB88)",Recreational cannabis only,NEWFOUNDLAND,7435,(973) 409-4319,POINT (-74.440784992 41.046669018)
"Leaf Joint, The (https://www.theleafjoint.net/)","391 CENTRAL AVE, GROUND FLOOR (https://maps.app.goo.gl/YEjgDg65c8CXfBx86)",Recreational cannabis only,JERSEY CITY,7307,(201) 630-4356,POINT (-74.048212019 40.748262997)
Unity Rd. Cannabis Shop (https://www.unityrd.com/locations/nj/franklin-somerset/441-elizabeth-ave),"441 ELIZABETH AVE, SUITE 11 (https://goo.gl/maps/zDNemGExWRfAJD7n6)",Recreational cannabis only,SOMERSET,8873,(732) 412-7210,POINT (-74.539236983 40.529236994)
Garfield Gardens Dispensary (https://yumaway.com/locations/revergardens),517 RIVER DRIVE (https://goo.gl/maps/Nyez9RSkB7RcuTcD7),Medicinal and Recreational,GARFIELD,7026,(973) 755-5420,POINT (-74.114841024 40.875655017)
Noire Dispensary (https://zebulon51.com/shop/),171 MAPLEWOOD AVE (https://maps.app.goo.gl/i6hSiDeXNeWTTiTY9),Recreational cannabis only,MAPLEWOOD,7040,(973) 922-1622,POINT (-74.278308001 40.730877002)
Zen Leaf (https://zenleafdispensaries.com/locations/elizabeth/),117 SPRING STREET (https://goo.gl/maps/nobBVydnqkgFHoyq5),Medicinal and Recreational,ELIZABETH,7201,(908) 676-5936,POINT (-74.205789032 40.663052989)
Zen Leaf (https://zenleafdispensaries.com/locations/lawrence/),3256 BRUNSWICK PIKE (https://goo.gl/maps/GC7chA4JbEfWnzkYA),Medicinal and Recreational,LAWRENCE TWP.,8648,(609) 212-4351,POINT (-74.687460523 40.290410036)
Zen Leaf (https://zenleafdispensaries.com/locations/neptune/),2100 ROUTE 66 (https://goo.gl/maps/3Tqvk4QdiakTDRhH9),Medicinal and Recreational,NEPTUNE,7753,(732) 860-1492,POINT (-74.040634024 40.226129983)
Elevated by TheCannaBossLady (http://thecannabosslady.com/),9 HIGHLAND PLACE (https://goo.gl/maps/T3KNGg4knX44w93L7),Recreational cannabis only,MAPLEWOOD,7040,(917) 416-5455,POINT (-74.278548981 40.731248991)
"Dispensary of Somerset, The (http://thedispensariesofnj.com/)",920 HAMILTON STREET (https://maps.app.goo.gl/HR79JPwiKdZ7TPnQ9),Recreational cannabis only,SOMERSET,8873,(732) 997-4799,POINT (-74.483258023 40.486349981)
"Dispensary of Union, The (http://thedispensariesofnj.com/)",1603 US 22 (https://maps.app.goo.gl/g9QzQEeJhYWoh39AA),Recreational cannabis only,UNION,7083,(908) 688-0808,POINT (-74.251062545 40.697607181)
Township Green (http://townshipgreen.com/),15-17 E SCOTT STREET (https://maps.app.goo.gl/RpUoYMXZSioEbgRF7),Recreational cannabis only,RIVERSIDE,8075,(856) 544-3065,POINT (-74.958864979 40.038318983)
"Aunt Mary's Dispensary, LLC (http://www.auntmarysnj.co/)",100 REAVILLE AVE. SUITE 211 (https://goo.gl/maps/iUZk9uzrfXCv1fcdA),Medicinal and Recreational,FLEMINGTON,8822,(908) 257-0421,POINT (-74.850988963 40.499399011)
Baked by the River (http://www.bakedbytheriver.com/),8 CHURCH STREET (https://maps.app.goo.gl/aL46pSNEdNYafwSCA),Recreational cannabis only,LAMBERTVILLE,8530,(609) 669-0501,POINT (-74.944739963 40.366959996)
Hello High (http://www.hellohigh.com/),7685 BLACK HORSE PIKE (https://maps.app.goo.gl/DKF9EyaCKpuHugM59),Recreational cannabis only,HAMMONTON,8037,(609) 567-4444,POINT (-74.817984968 39.565701014)
Mountain View Farmacy (http://www.mvf.earth/),74 OAK RIDGE ROAD (https://goo.gl/maps/a2r559Mxqg2L8zw1A),Recreational cannabis only,WEST MILFORD,7438,(973) 319-6420,POINT (-74.463676975 41.051790989)
Nightjar (http://www.nightjarcannabis.com/),549 BLOOMFIELD AVENUE (https://maps.app.goo.gl/H2CnkvQawBYJzK1N8),Recreational cannabis only,BLOOMFIELD,7003,(973) 707-2915,POINT (-74.196968001 40.79278599)
Nova Farms (http://www.novafarms.com/),642 MANTUA AVENUE (https://goo.gl/maps/qBiL5f3eurMQLqr19),Recreational cannabis only,WOODBURY,8096,(856) 202-7273,POINT (-75.15974903 39.826307375)
RIPT (http://www.riptdispensary.com/),220 BROADWAY (https://goo.gl/maps/7ZHLJ4LyYo748U849),Medicinal and Recreational,JERSEY CITY,7306,(201) 267-0701,POINT (-74.077549015 40.738163013)
Highway 90 (http://www.thehighway90.com/),90 OLD MARLTON PIKE WEST (https://maps.app.goo.gl/xuQPzivqYR4eLEMQA),Recreational cannabis only,EVESHAM,8053,(856) 607-3473,POINT (-74.927537029 39.892556011)
Zacate (http://www.zacate.co/),4037 ROUTE 130 (https://maps.app.goo.gl/4zxdAhG24bvyaz5f6),Recreational cannabis only,DELRAN,8075,(856) 200-3225,POINT (-74.958283023 40.015013982)
