Week Ending,Adult-Use Retail Sales,Medical Marijuana Retail Sales,Total Adult-Use and Medical Sales,Adult-Use Products Sold,Medical Products Sold,Total Products Sold,Adult-Use Average Product Price,Medical Average Product Price
12/30/2023,3695608.84,2043487.28,5739096.12,97300,53288,155919,37.87,34.75
12/31/2023,450004.14,215083.51,665087.65,12346,6250,18596,36.45,34.41
1/6/2024,3205959.19,1926337.54,5132296.73,83637,53826,137463,38,35.32
1/13/2024,3446057.56,2103106.7,5549164.26,89099,58772,147871,38.5,35.73
1/20/2024,3664976.83,2114370.83,5779347.66,91068,57398,148466,40.26,36.83
1/27/2024,3547403.27,2110002.8,5657406.07,90414,57047,147461,39.27,36.94
1/31/2024,1752481.44,1119511.4,2871992.84,45201,26890,75684,38.91,37.15
2/3/2024,1836876.94,1086289.39,2923166.33,45821,28137,73958,40.09,38.64
2/10/2024,3586336.81,2129678.51,5716015.32,88998,56714,145712,41.24,37.84
2/17/2024,3627334.62,2009764.56,5637099.18,91355,55498,146853,39.53,36.62
2/24/2024,3669168.98,2033277.74,5702446.72,90264,57037,147301,40.63,35.83
2/29/2024,2329512.3,1368759.76,3698272.96,57623,34916,96853,40.46,35.15
